,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-2.6961174 -3.0461822  3.7128873],[0.00164205 0.00115706 0.99720085]
1,neutral,positive,MISS,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-3.952193   4.160167  -0.9758536],[2.9796877e-04 9.9385709e-01 5.8449190e-03]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-3.0979445  6.3648562 -2.2972898],[7.7669210e-05 9.9974936e-01 1.7296933e-04]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.693401   5.90231   -1.7147344],[6.7981789e-05 9.9944025e-01 4.9171841e-04]
4,neutral,negative,MISS,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[-0.08325433  4.9697514  -2.919267  ],[6.3471599e-03 9.9328059e-01 3.7231875e-04]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[ 0.2422066  4.3803525 -2.6771123],[1.5688624e-02 9.8346472e-01 8.4672205e-04]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-2.4253333 -3.6632626  3.8544042],[1.8693736e-03 5.4208847e-04 9.9758852e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 5.347385  -1.7915316 -2.5489   ],[9.9883562e-01 7.9268747e-04 3.7169011e-04]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 2.5184572   0.22669035 -0.3636503 ],[0.86422634 0.08736265 0.04841101]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-3.712947  5.793868 -1.827101],[7.4301519e-05 9.9943584e-01 4.8979034e-04]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 5.4345293 -1.9412386 -2.5134635],[9.9902141e-01 6.2563294e-04 3.5302492e-04]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-3.735765   6.0196543 -1.8982201],[5.7955167e-05 9.9957806e-01 3.6402195e-04]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[-3.2256923  4.8293757 -1.1007671],[3.1654688e-04 9.9703324e-01 2.6502162e-03]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 5.4017153 -2.021662  -2.5272992],[9.9904364e-01 5.9655815e-04 3.5979686e-04]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-2.73546    6.1198454 -2.4452767],[1.4257550e-04 9.9966693e-01 1.9057671e-04]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-2.4805758 -3.591791   3.8462627],[1.7834390e-03 5.8703456e-04 9.9762952e-01]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 5.3283253 -1.5915368 -2.5792058],[9.9864584e-01 9.8662858e-04 3.6746374e-04]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-3.0741332  6.4366198 -2.2696524],[7.4033545e-05 9.9976045e-01 1.6550456e-04]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-3.738016   5.7650375 -1.7433281],[7.457714e-05 9.993773e-01 5.481352e-04]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-2.4101162 -3.6324983  3.8704276],[1.8678546e-03 5.5013498e-04 9.9758196e-01]
20,positive,neutral,MISS,"Og nej, det er ikke passivt.",[-3.3870757 -2.0425966  3.2193575],[0.00134287 0.00515149 0.9935056 ]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 5.4887    -1.9555686 -2.5414941],[9.9909055e-01 5.8425200e-04 3.2518894e-04]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-2.7463784  5.9556427 -2.1672595],[1.6617261e-04 9.9953723e-01 2.9652921e-04]
23,negative,negative,TRUE,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[ 5.438728  -1.940607  -2.5764527],[9.990464e-01 6.234207e-04 3.300935e-04]
24,neutral,negative,MISS,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[ 1.4380484  2.9772081 -2.070303 ],[0.17572781 0.8190098  0.00526239]
25,neutral,negative,MISS,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 1.835356   2.6877425 -2.5406108],[0.29781288 0.6984418  0.00374529]
26,negative,neutral,MISS,"Milos.. Der er en himmelvid forskel på at bruge en sexuel orientering som skældsord, og et erhverv, uanset om det er luder/bilsælger/bankmand eller håndværker. Du kan skifte erhverv, det er umiddelbart nok sværere at sexualitet. Læs tipsbladets artikel om",[ 5.2423325 -1.2424933 -2.3914428],[9.9799371e-01 1.5233643e-03 4.8286011e-04]
27,negative,negative,TRUE,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[ 5.238172  -1.5368705 -2.5161602],[9.9843162e-01 1.1401309e-03 4.2820774e-04]
28,neutral,negative,MISS,"RT @USER: Du mener: Hvem bliver nummer tre ?

Først var det skolelærerne...",[-1.0315018  5.8213415 -2.7937436],[1.0551417e-03 9.9876380e-01 1.8112510e-04]
29,negative,neutral,MISS,"Mediernes rolle skal forklares forfra, skriver som kommentar til ""På sin vis er der tale om ytringsfrihed på speed. Men hvis de forpligtede, uafhængige medier samtidig svækkes, får vi et demokratisk problem"" #dkmedier",[ 4.607188   -0.34450418 -1.974165  ],[0.9916136  0.00701213 0.00137435]
30,negative,positive,MISS,"Ved du overhovedet hvad det ord betyder?

Jeg er fuldstændig enig med @USER. Danmark har brug for en ny retning!",[ 4.2783437 -1.3210777 -1.9433144],[0.9943462  0.00367908 0.00197472]
31,neutral,negative,MISS,Der er noget skrivere har misforstået. Han skriver en nedsænkning vil give 7000 yderlige pladser og det er AGFS ønske. AGF har ikke noget ønske om at øge kapaciteten til 27000 #ultratwitteragf,[ 1.2662109  3.471655  -2.6860852],[0.09907377 0.899023   0.00190326]
32,negative,negative,TRUE,"Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",[ 5.296426  -1.7803098 -2.559053 ],[9.9876934e-01 8.4348634e-04 3.8714544e-04]
