,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-2.201041  -3.3008387  3.4181712],[0.00361004 0.00120192 0.995188  ]
1,neutral,positive,MISS,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-3.5685072  3.4880326 -0.6148623],[8.4702816e-04 9.8291057e-01 1.6242370e-02]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-2.794252   5.6060896 -1.975247 ],[2.2462562e-04 9.9926585e-01 5.0950499e-04]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.8294594  4.898838  -1.3552098],[1.6160110e-04 9.9791986e-01 1.9186563e-03]
4,neutral,negative,MISS,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 1.1419775  3.2145486 -2.6640708],[0.1115143  0.88600606 0.00247962]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-0.59050286  4.817627   -2.4219637 ],[4.4568460e-03 9.9482924e-01 7.1389490e-04]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-1.9795047 -3.564578   3.4917026],[4.1849418e-03 8.5763150e-04 9.9495739e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 4.5943956 -1.7582811 -2.0540903],[0.99697113 0.0017368  0.00129206]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 2.0982497   0.6874979  -0.41328168],[0.7546579  0.1841062  0.06123588]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-3.119542   5.141677  -1.5605466],[2.5796040e-04 9.9851567e-01 1.2263546e-03]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 4.620883  -1.8759836 -1.9664868],[0.99712247 0.00150382 0.00137369]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-3.3976283  5.0749784 -1.3719546],[2.0874452e-04 9.9820876e-01 1.5825375e-03]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[-2.8947508   3.952593   -0.80343443],[0.00105211 0.9904304  0.00851741]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 4.577046  -1.8712984 -1.9054474],[0.9968966  0.00157823 0.00152524]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-2.3499475  5.310158  -1.91513  ],[4.7069343e-04 9.9880230e-01 7.2707114e-04]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-2.0886397 -3.431265   3.4798632],[3.7979104e-03 9.9185936e-04 9.9521023e-01]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 4.55896   -1.6769346 -2.0925348],[0.99676055 0.00195153 0.0012879 ]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-2.71875   5.79316  -2.015053],[2.0093747e-04 9.9939287e-01 4.0613679e-04]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-3.4605744  4.6018662 -1.2847918],[3.1418534e-04 9.9691808e-01 2.7676828e-03]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-2.037414 -3.560069  3.527054],[3.8138165e-03 8.3191576e-04 9.9535429e-01]
20,positive,neutral,MISS,"Og nej, det er ikke passivt.",[-3.0325892 -2.038664   2.878915 ],[0.00268123 0.0072442  0.9900746 ]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 4.6648636 -1.8392993 -1.965212 ],[0.9971908  0.00149299 0.00131636]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-2.298087   5.3715806 -1.9550047],[4.6624878e-04 9.9887663e-01 6.5707706e-04]
23,negative,negative,TRUE,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[ 4.608271  -1.8772588 -1.9994217],[0.9971329  0.00152098 0.00134607]
24,neutral,negative,MISS,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[ 1.2021108  2.7469215 -1.6613432],[0.17408998 0.81597453 0.00993554]
25,negative,negative,TRUE,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 2.4346478  1.4988806 -1.7533652],[0.71049917 0.27871802 0.01078283]
26,negative,neutral,MISS,"Milos.. Der er en himmelvid forskel på at bruge en sexuel orientering som skældsord, og et erhverv, uanset om det er luder/bilsælger/bankmand eller håndværker. Du kan skifte erhverv, det er umiddelbart nok sværere at sexualitet. Læs tipsbladets artikel om",[ 4.5780973 -1.2586218 -2.005749 ],[0.9957176 0.0029059 0.0013766]
27,negative,negative,TRUE,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[ 4.549719  -1.5022717 -2.0621283],[0.99631613 0.0023445  0.00133939]
28,neutral,negative,MISS,"RT @USER: Du mener: Hvem bliver nummer tre ?

Først var det skolelærerne...",[-0.49718463  5.1268826  -2.5444667 ],[3.5952746e-03 9.9594069e-01 4.6409696e-04]
29,negative,neutral,MISS,"Mediernes rolle skal forklares forfra, skriver som kommentar til ""På sin vis er der tale om ytringsfrihed på speed. Men hvis de forpligtede, uafhængige medier samtidig svækkes, får vi et demokratisk problem"" #dkmedier",[ 3.7547476   0.06801824 -1.543659  ],[0.97082347 0.02432282 0.00485368]
