,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-1.1450744 -3.4064703  4.00911  ],[5.7385941e-03 5.9798971e-04 9.9366343e-01]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-2.1932485 -2.6081142  4.453981 ],[1.2948228e-03 8.5513823e-04 9.9785006e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-2.2209516  5.451397  -3.0971959],[4.6521655e-04 9.9934107e-01 1.9368999e-04]
3,positive,neutral,MISS,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-2.715766   0.5990102  2.3986528],[0.0051303  0.14116663 0.85370314]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 5.033376  -2.4861488 -2.8486276],[9.9908102e-01 5.4189167e-04 3.7712901e-04]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-2.9407296  5.284056  -2.210223 ],[2.6770908e-04 9.9917644e-01 5.5579963e-04]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-1.2269999 -3.9270885  4.762391 ],[2.4985101e-03 1.6789869e-04 9.9733365e-01]
7,neutral,negative,MISS,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[-0.08415522  4.5048327  -4.0160666 ],[1.0058905e-02 9.8974377e-01 1.9721659e-04]
8,neutral,negative,MISS,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 0.24246444  3.930983   -3.7554028 ],[2.4387911e-02 9.7516441e-01 4.4763373e-04]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-3.8975544   3.980743    0.23938157],[3.6996132e-04 9.7646654e-01 2.3163529e-02]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 4.702442  -0.9644602 -3.779557 ],[9.9634761e-01 3.4459294e-03 2.0640744e-04]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-2.5170321  5.515305  -2.84191  ],[3.2460658e-04 9.9944073e-01 2.3456583e-04]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 2.279585   2.538217  -4.5878663],[4.3550244e-01 5.6404418e-01 4.5341346e-04]
13,neutral,negative,MISS,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 2.01617    2.5229049 -4.100494 ],[0.37564775 0.62352365 0.0008286 ]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-3.0236936  5.655824  -2.3965938],[1.6995004e-04 9.9951196e-01 3.1817600e-04]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-1.8355782 -3.129105   4.6381555],[1.5404222e-03 4.2254041e-04 9.9803704e-01]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 4.756905  -2.253619  -2.7684133],[9.9856049e-01 9.0103695e-04 5.3848082e-04]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-2.989523   5.4122725 -2.27744  ],[2.2431098e-04 9.9931848e-01 4.5719786e-04]
18,positive,positive,TRUE,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-3.842719   1.6826776  2.1834722],[0.00150123 0.37678748 0.6217113 ]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-1.5059438 -3.2227926  4.2862587],[3.0403112e-03 5.4613501e-04 9.9641353e-01]
20,neutral,neutral,TRUE,"Og nej, det er ikke passivt.",[-1.9767821  5.6093965 -3.2747602],[5.0708873e-04 9.9935442e-01 1.3847747e-04]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 4.5829406 -2.9976907 -2.0142975],[9.9812919e-01 5.0928449e-04 1.3615784e-03]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[ 1.2465339  3.5028667 -4.3262563],[9.4770469e-02 9.0486950e-01 3.6011482e-04]
23,negative,negative,TRUE,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[ 5.1310916 -2.1414285 -3.2667372],[9.9908113e-01 6.9372199e-04 2.2514895e-04]
24,neutral,negative,MISS,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[-1.8366966  5.3586264 -3.3791163],[7.4940344e-04 9.9909031e-01 1.6026970e-04]
25,negative,negative,TRUE,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 4.8316007 -2.3191485 -2.833412 ],[9.987483e-01 7.832946e-04 4.683640e-04]
26,neutral,neutral,TRUE,"Milos.. Der er en himmelvid forskel på at bruge en sexuel orientering som skældsord, og et erhverv, uanset om det er luder/bilsælger/bankmand eller håndværker. Du kan skifte erhverv, det er umiddelbart nok sværere at sexualitet. Læs tipsbladets artikel om",[-2.2843971  5.6663365 -3.1322312],[3.5222623e-04 9.9949694e-01 1.5087318e-04]
27,neutral,negative,MISS,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[ 1.5516821  3.20492   -4.505472 ],[1.6061141e-01 8.3901268e-01 3.7599998e-04]
28,negative,negative,TRUE,"RT @USER: Du mener: Hvem bliver nummer tre ?

Først var det skolelærerne...",[ 4.86993   -1.4460762 -3.576442 ],[9.9798226e-01 1.8035013e-03 2.1424469e-04]
29,negative,neutral,MISS,"Mediernes rolle skal forklares forfra, skriver som kommentar til ""På sin vis er der tale om ytringsfrihed på speed. Men hvis de forpligtede, uafhængige medier samtidig svækkes, får vi et demokratisk problem"" #dkmedier",[ 4.116564   0.1588624 -4.195205 ],[9.8101485e-01 1.8744234e-02 2.4094613e-04]
30,positive,positive,TRUE,"Ved du overhovedet hvad det ord betyder?

Jeg er fuldstændig enig med @USER. Danmark har brug for en ny retning!",[-1.9215093 -3.0148082  4.675985 ],[1.3613024e-03 4.5618496e-04 9.9818254e-01]
31,neutral,negative,MISS,Der er noget skrivere har misforstået. Han skriver en nedsænkning vil give 7000 yderlige pladser og det er AGFS ønske. AGF har ikke noget ønske om at øge kapaciteten til 27000 #ultratwitteragf,[-0.54503644  4.751865   -4.073742  ],[4.9814121e-03 9.9487251e-01 1.4616887e-04]
32,negative,negative,TRUE,"Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",[ 4.9285545 -2.5988228 -2.6453533],[9.9894935e-01 5.3758244e-04 5.1314145e-04]
33,negative,negative,TRUE,"Hvorfor gør #dkpol ikke noget mere for at få flere elbiler på vejene, ladestandere sat op....",[ 3.9215202  0.4156056 -4.0908694],[9.7054344e-01 2.9135039e-02 3.2157195e-04]
34,neutral,positive,MISS,"Konkurrencestater kommer i forskellige varianter, og det samme gælder for den danske konkurrencestat 🇩🇰. Nysgerrig? Køb 'Konkurrencestatsministeren' her: #dkpol #dkøko",[-2.9834552  5.5812984 -2.4487329],[1.9061216e-04 9.9948394e-01 3.2537009e-04]
35,neutral,neutral,TRUE,"Jo jo, men de kan jo ikke bruges som en overvældende del af holdets succes. De har ydet på visse områder, men har vel ikke været kæmpe profiler.",[-1.6988602  5.00362   -2.964947 ],[1.2259330e-03 9.9842846e-01 3.4563069e-04]
36,neutral,positive,MISS,Viacom letter på aftale med AT&amp;T og topper S&amp;P 500-indekset,[-3.3808064  2.8655634  0.9974188],[0.00167551 0.86479205 0.13353245]
37,positive,positive,TRUE,Det er flot! Træning er heller ikke en særligt stor del af vægttab. Du kan ikke træne dig ud af dårlige spisevaner du skal spise dig ud af dem. Træning er selvfølgelig godt for en masse andre ting så det er helt fint at træne (eller ej).,[-1.7976593 -2.8311338  4.2520604],[2.3510051e-03 8.3641405e-04 9.9681252e-01]
38,neutral,neutral,TRUE,Online Angst Kursus. Prøv gratis. Ingen binding. Ingen kreditkort. Gå til → #angst #stress #denmark,[-3.7769542  5.0469785 -1.1856977],[1.4685837e-04 9.9789304e-01 1.9600501e-03]
39,neutral,neutral,TRUE,Det er Robsons store udfordring. Han er dog ret bredt anerkendt som en af de største engelske spillere,[-3.6130087   4.175918   -0.32706645],[4.0959092e-04 9.8864043e-01 1.0950073e-02]
40,negative,negative,TRUE,"Fodboldfans og sange er altså en historie for sig selv! 
Så ufattelig mange sløje tekster og selvkonstruerede ord for at få noget til at lade som om det rimer.",[ 4.3119826 -2.836402  -1.839986 ],[9.9709296e-01 7.8384776e-04 2.1230963e-03]
41,neutral,neutral,TRUE,"Det er Torsdag og dermed Premier League i Dart, med runder igen før finalen strammer det til nu.
Se forslag på facebook side",[-3.5799737  5.2894025 -1.4859245],[1.4045020e-04 9.9871945e-01 1.1401355e-03]
42,positive,neutral,MISS,"Nethandel med Dankort fejrer 20 års fødselsdag i dag. Tilbageblik: Det er i dag 20 år siden, at det første køb med Dankort på nettet blev gennemført. Siden er det blevet til millioner af handler på nettet.",[-3.95424    1.3613687  2.6610591],[0.00105162 0.21399184 0.7849566 ]
