,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,neutral,neutral,TRUE,Ung mand kørte med hash i systemet [LINK],[ 0.17160031  1.1114118  -1.2450709 ],[0.26301816 0.67319465 0.06378715]
1,negative,neutral,MISS,@USER @USER Han blev diskuteret og seriøst overvejet. Faldt på den manglende prof karriere.,[ 2.3773978  -0.11287156 -2.6706915 ],[0.918013   0.07609192 0.00589511]
2,negative,negative,TRUE,"@USER Normalt og normalt....
Intet normalt i en forhandling om EU udmeldelse mellem borgerlige og arbejderpartiet.
Once in a generation - selv i DK.

At det så er en tvungen opgave, fordi det parlimentariske flertal ikke er på plads... Av den havde ikke gået under Fogh.",[ 3.1172523 -0.87859   -2.6548097],[0.9789474  0.01800475 0.00304779]
3,negative,negative,TRUE,"Sort dag. @USER var som den braldrende kammerat på et fodboldhold. Han tisser i badet, får dumme gule kort. Men er også ham, der skyder fra en kropumulig vinkel og scorer. Giver omgang, selvom kontoen er i overtræk. Og som man slet ikke kan undvære, den dag han er væk. #dkmedier",[ 3.1857324 -1.1188765 -2.5634837],[0.98358256 0.01328443 0.00313298]
4,neutral,positive,MISS,Sydbank leverer resultat i top... [LINK],[-2.6245325   2.7364266   0.21535166],[0.0043282 0.9215999 0.0740719]
5,negative,negative,TRUE,"@USER @USER Absurd at han forsøger at sammenligne Paludan med nazister og jødernes forbrydelser mod jøderne. Så vidt jeg ved har Paludan ikke fordrevet eller udryddet nogen som helst. Paludan er Islam-kritiker, men han har en tosset, absurd, vanvittig måde at udtrykke kritikken på. #dkmedier",[ 3.2397163 -1.0758717 -2.404833 ],[0.9833853  0.01313674 0.00347798]
6,neutral,neutral,TRUE,Tusindvis af soldater gøres klar ved grænsen til Gaza [LINK] [LINK],[-0.5961956  1.8425832 -1.0954559],[0.07653441 0.87701076 0.04645482]
7,positive,positive,TRUE,"Nul respekt for hadprædikanter som RP

Nul tolerance over for voldelige demonstranter

Respekt for @USER som holder lov og orden

Respekt for @USER, som formår at samle, i stedet for at splitte

DK er og forbliver en værdistærk, fri &amp; demokratisk nation 
#dkpol",[-1.3539072   0.01949635  1.5007708 ],[0.04480766 0.17693505 0.7782573 ]
8,negative,neutral,MISS,"@USER @USER @USER @USER @USER Jeg undrede mig over, at journalisterne blev siddende til pressemødets afslutning. Tænk, hvis medierne og vælgerne - uanset politisk ståsted, forlanger af politikerne, at de kun taler om egen politik. Det kunne give en interessant valgkamp #dkpol #dkmedier",[ 0.12562084  0.0613308  -0.81862265],[0.42979205 0.4030302  0.16717781]
9,positive,positive,TRUE,"Kan en flok ergoterapeut- og fysioterapeutstuderende hjælpe udviklingshæmmede i Hjørring med at bevæge sig mere? Selvfølgelig kan de det :-) #sundpol #phudd 
[LINK]",[-3.1689076  1.0378283  2.523227 ],[0.00274226 0.18410711 0.8131506 ]
10,negative,negative,TRUE,"@USER Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",[ 3.167793  -0.8358184 -2.5496728],[0.9789164  0.01786484 0.00321871]
11,positive,positive,TRUE,"Rørt Hansen sender hilsen til kæreste og søn: 'Den vildeste start på 2019', [LINK] [LINK]",[-2.730852   -0.24473771  3.3184905 ],[0.00228912 0.02750266 0.9702083 ]
12,negative,neutral,MISS,"@USER EU lovgivning om fri bevægelighed er jura når den er mest simpel. Næsten intet kan lovligt begrænse den fri bevægelighed.
Man skal ud i noget med sundhedsrisici. 
Der er plads til flere hensyn.",[ 2.7008083  -0.45612815 -2.635408  ],[0.9547725  0.04063122 0.00459633]
13,negative,positive,MISS,"Det er grineren, når folk man kan huske fra gymnasiet, bliver kendte rockmusikere, der får gode anmeldelser i Politiken 
#fugleflugten #favrskovgymftw

[LINK]",[ 2.257641   -0.23741461 -2.1769633 ],[0.9137831  0.07537966 0.01083724]
14,negative,negative,TRUE,Den her kvinde skulle man tro var spidskandidat til elitens fallitbo for venstrefløjen … hun bestiller ikke andet end at kritisere blå blok - hvad siger @USER @USER ?? #dkpol #eudk [LINK],[ 3.037842   -0.79284066 -2.384031  ],[0.97455096 0.02114269 0.00430641]
15,positive,positive,TRUE,"Skønne notre dame - håber det kan repareres og ikke bryder sammen. 
Ingen døde pt. [LINK]",[-2.2438185  -0.31256407  2.8364158 ],[0.00592733 0.04088769 0.95318496]
16,negative,negative,TRUE,"@USER Det komplekse er en afledning. Det er sådan set meget simpelt: Flere hundrede mennesker skal ikke stå og synge sange, der bruger homoseksualitet nedsættende. Det burde være muligt at have en klar holdning til.",[ 2.160266   -0.17564537 -2.6471639 ],[0.9050665  0.08754012 0.00739333]
17,neutral,neutral,TRUE,"Det er gået op for de fleste, at vejret også i Danmark har ændret sig. Vejret opfører sig ikke, som det gjorde engang.... Kom til foredrag med Jesper Theilgaard.... [LINK]",[-0.26197508  1.5390279  -1.7623757 ],[0.13738607 0.8319712  0.03064269]
18,neutral,neutral,TRUE,"@USER Er det en ting? Jeg skal prøve at holde mig fra det, men måske sniger der sig et #visdineløbesko ind. Alt i alt tror jeg dog, risikoen er 100x større for, at jeg keder folk, end at det bliver pinligt. [LINK]",[ 0.30826634  1.5965983  -2.4772372 ],[0.213291   0.7735493  0.01315963]
19,positive,positive,TRUE,"@USER Gør jeg heller ikke - for min helt oprigtige holdning og skøn er, at Brøndby havde svært ved at sætte det sammen i offensiven.Det har været det gennemgående tema i denne sæson. Holdet har aldrig leveret til konstant 0 defensivt, men vi har scoret langt flere mål end i denne sæson",[-1.6723808   0.71778345  0.7413547 ],[0.04330708 0.4727091  0.48398376]
20,negative,negative,TRUE,De siger lynet aldrig slår ned det samme sted to gange.. 🙄 hvad siger det om den profesionelle splidskaber? #dkpol,[ 2.3864     -0.25813493 -2.4263794 ],[0.9266436  0.06582727 0.00752921]
21,neutral,neutral,TRUE,"Interessant svar fra en ung mand, vi har haft med i en fokusgruppe om grænseoverskridende indhold (feks videoer fra terror): ""For det meste ser jeg sådan nogle videoer, fordi jeg bliver nødt til det - altså det her er virkeligheden.""

[LINK]",[-2.8997865   1.9681165   0.87152404],[0.00573116 0.7453249  0.24894395]
22,negative,negative,TRUE,"@USER @USER @USER @USER @USER @USER Tror det er ham der er lidt følelseskold. Lad ham være pædagog en uge, så kan vi tage en recap.",[ 3.1374776 -0.9076148 -2.4771876],[0.97928613 0.01714542 0.00356855]
23,neutral,positive,MISS,YouGov Denmark: Rema 1000 er danske kvinders darling #brandindex #womensrankings2019 [LINK],[-2.3029387  1.9711617  0.7487275],[0.01064214 0.76427066 0.22508715]
24,neutral,neutral,TRUE,"@USER @USER Min pointe er, at EU ikke er en afsondret tredjepart. Det er et fællesskab, som Danmark indgår i.",[-2.121404    2.3092122  -0.47800002],[0.0110919  0.93153256 0.05737559]
