,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-1.306405  -2.897586   3.7098835],[0.00657661 0.00133956 0.9920839 ]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-2.7010784   0.08607242  2.7953582 ],[0.00383059 0.06218851 0.9339809 ]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-1.7573009  4.715612  -2.6681085],[1.5413811e-03 9.9783868e-01 6.1994232e-04]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-1.5513915   2.288343   -0.31556687],[0.01962541 0.9128393  0.06753528]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 4.644617  -2.2141175 -2.776869 ],[9.9835420e-01 1.0485136e-03 5.9727486e-04]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-1.6097232  4.6861987 -2.6939552],[1.8392709e-03 9.9753881e-01 6.2197051e-04]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-1.5419053 -2.9127443  4.1179595],[3.4678422e-03 8.8046410e-04 9.9565166e-01]
7,neutral,negative,MISS,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 1.3176013  2.847332  -3.8502424],[0.17785272 0.8211341  0.0010132 ]
8,neutral,negative,MISS,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 1.2777232  2.6256201 -3.5555103],[0.20587645 0.7924847  0.00163893]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-1.8243895   1.4413196   0.73597825],[0.02491327 0.6526947  0.32239202]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 4.400196   -0.80157465 -3.612789  ],[9.9419594e-01 5.4748431e-03 3.2921278e-04]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-1.613408   4.568854  -2.7865467],[2.0601773e-03 9.9730241e-01 6.3740724e-04]
