,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-2.1558778 -1.5329074  3.4391918],[0.003677   0.00685561 0.98946744]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-2.3004477   0.20542845  2.2851171 ],[0.00898369 0.11008872 0.88092756]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-1.992004   3.6860034 -1.5606163],[0.00339091 0.9913892  0.00521995]
3,positive,neutral,MISS,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-2.4606857   0.35629022  2.2264025 ],[0.00791999 0.13247119 0.8596088 ]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 3.4842675   0.25955155 -3.6813276 ],[9.6103972e-01 3.8217738e-02 7.4261375e-04]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-0.6521997  3.2275023 -2.346304 ],[0.02016391 0.9761307  0.0037054 ]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-2.0866187 -1.7648679  3.5655484],[0.00348083 0.00480195 0.9917173 ]
7,neutral,negative,MISS,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 0.9079389  2.5962973 -2.9657433],[0.1554878  0.84128094 0.0032313 ]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 1.9984903  1.617564  -3.3334148],[0.5923949  0.4047409  0.00286414]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-2.4447258   1.9641172   0.82367575],[0.00913712 0.7508369  0.24002595]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 4.3353996 -1.1998743 -3.2813723],[9.9558240e-01 3.9276998e-03 4.8995396e-04]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-1.340319   3.2783515 -1.8898993],[0.00971474 0.98467803 0.00560727]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[-0.7388496  3.4221594 -2.4413755],[0.01530962 0.9819005  0.00278976]
13,neutral,negative,MISS,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[-0.46383503  2.558415   -1.6461852 ],[0.04577915 0.9401869  0.01403394]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-2.321173   3.8439076 -1.2564101],[0.00208446 0.9918703  0.00604526]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-2.1672752 -1.5978066  3.4349728],[0.00365227 0.00645476 0.9898929 ]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 4.493411  -1.3662935 -3.2697852],[9.9673355e-01 2.8427700e-03 4.2370721e-04]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-2.5915802  3.7012591 -0.9006777],[0.00182778 0.9882576  0.00991458]
18,positive,positive,TRUE,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-2.5184572  1.0640844  1.6086246],[0.01010493 0.36342221 0.62647283]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-2.0520875 -1.6448704  3.3508976],[0.00445294 0.00669111 0.9888559 ]
20,neutral,neutral,TRUE,"Og nej, det er ikke passivt.",[-1.0896555  3.5058646 -2.1510665],[0.00996159 0.986592   0.00344638]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 4.3396244 -1.8774205 -2.801551 ],[9.972209e-01 1.989588e-03 7.896204e-04]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[ 1.2590209  2.2467945 -3.0355432],[0.27035126 0.72596043 0.00368827]
