,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-1.971901  -4.7981024  6.1350026],[3.0135448e-04 1.7851469e-05 9.9968076e-01]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-3.6083157 -2.3574357  5.8435235],[7.8517238e-05 2.7429342e-04 9.9964714e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-2.667728   6.8418584 -3.9909582],[7.4130745e-05 9.9990606e-01 1.9739064e-05]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.7979462  5.9442315 -1.6751357],[5.872016e-05 9.994506e-01 4.905827e-04]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 6.1784964 -2.9028232 -3.3952823],[9.9981683e-01 1.1375051e-04 6.9515459e-05]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-3.474933   7.0924797 -3.3756056],[2.5739944e-05 9.9994588e-01 2.8427903e-05]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-2.6279569 -3.7147677  6.0574307],[1.6899970e-04 5.7001973e-05 9.9977404e-01]
7,neutral,negative,MISS,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 0.13772368  5.544827   -5.0856714 ],[4.4644815e-03 9.9551141e-01 2.4059093e-05]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 3.2031126  2.712239  -5.6567755],[6.2025756e-01 3.7965435e-01 8.8058550e-05]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-4.891401    5.758827   -0.43118393],[2.3646397e-05 9.9793077e-01 2.0455627e-03]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 6.098965  -1.6939542 -4.4977574],[9.9956244e-01 4.1246598e-04 2.4986866e-05]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-3.2594857  7.1627116 -3.6262078],[2.9762903e-05 9.9994957e-01 2.0625759e-05]
