,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-1.4144807 -1.7928565  3.4862933],[0.00734869 0.00503365 0.9876177 ]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-1.7855574 -0.342442   2.2175827],[0.01666563 0.07056004 0.9127743 ]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-2.4848359  4.7758746 -3.4511228],[7.0192770e-04 9.9903095e-01 2.6707875e-04]
3,positive,neutral,MISS,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-2.7587628  -0.66669333  3.5197203 ],[0.00184474 0.01494548 0.9832097 ]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 5.779741  -2.360114  -2.9279568],[9.9954319e-01 2.9154643e-04 1.6523285e-04]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-3.8286183   3.6191554  -0.36593953],[5.7177455e-04 9.8118734e-01 1.8240938e-02]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-2.0901406 -3.141426   5.945718 ],[3.2350537e-04 1.1306128e-04 9.9956340e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 3.3538976  -0.89123034 -2.5316608 ],[0.98317474 0.01409273 0.00273253]
8,neutral,negative,MISS,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[-0.01576524  1.6822735  -2.034224  ],[0.15160514 0.82825255 0.02014227]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-3.2589724  2.4877264  0.0441905],[0.00292951 0.91739213 0.07967843]
10,neutral,neutral,TRUE,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 1.1261398  1.6557498 -3.111516 ],[0.36863488 0.62604153 0.00532361]
