,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-2.7163017 -3.5499992  7.392464 ],[4.0718660e-05 1.7689817e-05 9.9994159e-01]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-3.5092256 -2.3353267  6.852509 ],[3.161534e-05 1.022623e-04 9.998661e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-3.2704685  6.0794134 -4.0401225],[8.696460e-05 9.998727e-01 4.027971e-05]
3,positive,neutral,MISS,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-5.1469     1.1536248  4.187487 ],[8.4270541e-05 4.5915447e-02 9.5400023e-01]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 7.2095346 -3.4392219 -3.3037019],[9.9994910e-01 2.3729137e-05 2.7172970e-05]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-4.639154   3.5436258  0.7043158],[2.6392014e-04 9.4451416e-01 5.5221949e-02]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-3.171982 -3.020863  7.268056],[2.9236255e-05 3.4005687e-05 9.9993670e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 2.4148254   0.96998817 -3.8338394 ],[0.8079389  0.19049941 0.00156177]
8,neutral,negative,MISS,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[-3.2657743  5.557186  -3.0603175],[1.4726333e-04 9.9967182e-01 1.8085186e-04]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-4.3238897  6.02248   -2.743423 ],[3.2103108e-05 9.9981207e-01 1.5593188e-04]
10,neutral,neutral,TRUE,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[-2.7329762  6.594939  -5.020973 ],[8.889869e-05 9.999020e-01 9.020503e-06]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-4.3340025  6.249748  -2.8631454],[2.5320751e-05 9.9986446e-01 1.1022029e-04]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 2.3139708  2.401329  -5.5857143],[4.7808954e-01 5.2173316e-01 1.7730442e-04]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 4.556874  -1.9021835 -2.3613524],[9.9745065e-01 1.5622786e-03 9.8706095e-04]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-3.9915671  5.620368  -2.6082416],[6.6902896e-05 9.9966633e-01 2.6681827e-04]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-2.6887872 -3.4087896  7.1886644],[5.131496e-05 2.497762e-05 9.999237e-01]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 6.9405594 -3.207972  -3.3088884],[9.9992549e-01 3.9130613e-05 3.5374396e-05]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-4.30997    6.612077  -3.2185335],[1.8054450e-05 9.9992824e-01 5.3776064e-05]
18,positive,positive,TRUE,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-4.3019056  1.3692904  3.0269544],[5.5095629e-04 1.5998763e-01 8.3946145e-01]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-3.9298427 -1.7763819  6.566086 ],[2.7641438e-05 2.3812063e-04 9.9973422e-01]
20,neutral,neutral,TRUE,"Og nej, det er ikke passivt.",[-3.1717842  6.6238723 -4.5034313],[5.5689077e-05 9.9992967e-01 1.4704244e-05]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 6.2756653 -1.5465252 -4.6054964],[9.9958056e-01 4.0057491e-04 1.8801362e-05]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-3.8111215  6.2900524 -3.401533 ],[4.1027164e-05 9.9989724e-01 6.1794985e-05]
23,negative,negative,TRUE,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[ 6.8893557 -2.8155222 -3.7460685],[9.9991488e-01 6.0980099e-05 2.4046798e-05]
