,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-2.6131237 -3.1268368  3.6704578],[0.00186115 0.00111347 0.99702543]
1,neutral,positive,MISS,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-3.9242578   3.978661   -0.83968216],[3.6656557e-04 9.9162102e-01 8.0124605e-03]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-3.0768583  6.2828507 -2.2549987],[8.610090e-05 9.997181e-01 1.958559e-04]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.7224867  5.7729874 -1.645596 ],[7.5140655e-05 9.9932528e-01 5.9959368e-04]
4,neutral,negative,MISS,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 0.13741325  4.754585   -2.8930051 ],[9.7794086e-03 9.8974830e-01 4.7230092e-04]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-0.00881778  4.570457   -2.651917  ],[1.0150756e-02 9.8912710e-01 7.2212925e-04]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-2.3483849 -3.6636176  3.8014748],[2.128022e-03 5.711861e-04 9.973008e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 5.223945  -1.7984102 -2.4917045],[9.9866426e-01 8.9053187e-04 4.4520033e-04]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 2.4139204   0.2657485  -0.32947737],[0.8467052  0.09880821 0.0544866 ]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-3.6760037  5.719943  -1.7941239],[8.3007901e-05 9.9937195e-01 5.4501620e-04]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 5.307218  -1.941363  -2.4543912],[9.9886429e-01 7.1037520e-04 4.2528738e-04]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-3.7282932  5.9189744 -1.8456091],[6.4570275e-05 9.9951112e-01 4.2429881e-04]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[-3.1965554  4.7041583 -1.0270793],[3.6914501e-04 9.9639940e-01 3.2313848e-03]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 5.269982  -2.0258572 -2.4609392],[9.9888390e-01 6.7759823e-04 4.3854964e-04]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-2.7162166  6.0398955 -2.3897333],[1.574366e-04 9.996244e-01 2.182206e-04]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-2.4117439 -3.591333   3.7925544],[2.0154021e-03 6.1954465e-04 9.9736506e-01]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 5.205738  -1.6003351 -2.5281165],[9.9845767e-01 1.1053240e-03 4.3707847e-04]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-3.0444899  6.357116  -2.2256231],[8.2569066e-05 9.9973017e-01 1.8726071e-04]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-3.7349458  5.615641  -1.6969867],[8.6848915e-05 9.9924660e-01 6.6655927e-04]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-2.3385453 -3.6276338  3.816511 ],[2.1169900e-03 5.8327679e-04 9.9729973e-01]
20,positive,neutral,MISS,"Og nej, det er ikke passivt.",[-3.2415273 -2.1125042  3.1984668],[0.00158605 0.00490508 0.99350893]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 5.3625894 -1.9513317 -2.4797282],[9.9894220e-01 6.6549506e-04 3.9234228e-04]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-2.7081017  5.8897595 -2.1317227],[1.8440539e-04 9.9948740e-01 3.2816461e-04]
23,negative,negative,TRUE,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[ 5.3084373 -1.9445311 -2.5138645],[9.9889249e-01 7.0728530e-04 4.0025447e-04]
24,neutral,negative,MISS,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[ 1.2316759  3.0558493 -2.010118 ],[0.13818331 0.85641456 0.0054021 ]
25,neutral,negative,MISS,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 1.9550773  2.4515789 -2.4207168],[0.37657103 0.6186924  0.00473657]
26,negative,neutral,MISS,"Milos.. Der er en himmelvid forskel på at bruge en sexuel orientering som skældsord, og et erhverv, uanset om det er luder/bilsælger/bankmand eller håndværker. Du kan skifte erhverv, det er umiddelbart nok sværere at sexualitet. Læs tipsbladets artikel om",[ 5.149044  -1.2771949 -2.3676105],[9.9784219e-01 1.6150343e-03 5.4277555e-04]
27,negative,negative,TRUE,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[ 5.1175013 -1.5298035 -2.4637914],[9.9819595e-01 1.2951740e-03 5.0898182e-04]
28,neutral,negative,MISS,"RT @USER: Du mener: Hvem bliver nummer tre ?

Først var det skolelærerne...",[-1.0196403  5.774535  -2.7565575],[1.1188070e-03 9.9868411e-01 1.9697979e-04]
29,negative,neutral,MISS,"Mediernes rolle skal forklares forfra, skriver som kommentar til ""På sin vis er der tale om ytringsfrihed på speed. Men hvis de forpligtede, uafhængige medier samtidig svækkes, får vi et demokratisk problem"" #dkmedier",[ 4.522083   -0.30246416 -1.927815  ],[0.9904806  0.00795375 0.00156564]
30,negative,positive,MISS,"Ved du overhovedet hvad det ord betyder?

Jeg er fuldstændig enig med @USER. Danmark har brug for en ny retning!",[ 4.1983824 -1.3882918 -1.9355533],[0.9941193  0.00372543 0.00215528]
31,neutral,negative,MISS,Der er noget skrivere har misforstået. Han skriver en nedsænkning vil give 7000 yderlige pladser og det er AGFS ønske. AGF har ikke noget ønske om at øge kapaciteten til 27000 #ultratwitteragf,[ 1.3911387  3.3132765 -2.6258652],[0.12733075 0.8703764  0.00229282]
32,negative,negative,TRUE,"Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",[ 5.173458  -1.794038  -2.5037196],[9.9859673e-01 9.4068696e-04 4.6263062e-04]
33,negative,negative,TRUE,"Hvorfor gør #dkpol ikke noget mere for at få flere elbiler på vejene, ladestandere sat op....",[ 5.1754956 -1.9983269 -2.443561 ],[9.9874413e-01 7.6542521e-04 4.9038813e-04]
34,neutral,positive,MISS,"Konkurrencestater kommer i forskellige varianter, og det samme gælder for den danske konkurrencestat 🇩🇰. Nysgerrig? Køb 'Konkurrencestatsministeren' her: #dkpol #dkøko",[-3.1893213  6.06649   -1.9347432],[9.5513555e-05 9.9956948e-01 3.3490497e-04]
35,positive,neutral,MISS,"Jo jo, men de kan jo ikke bruges som en overvældende del af holdets succes. De har ydet på visse områder, men har vel ikke været kæmpe profiler.",[-2.481836    0.67446774  0.71714807],[0.02041181 0.4793434  0.5002448 ]
36,neutral,positive,MISS,Viacom letter på aftale med AT&amp;T og topper S&amp;P 500-indekset,[-3.4619682  5.9767623 -1.9237796],[7.9545593e-05 9.9955004e-01 3.7037602e-04]
