,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-2.4282234 -3.270305   3.590203 ],[0.00242505 0.00104474 0.99653023]
1,neutral,positive,MISS,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-3.7436323   3.2332745  -0.33313686],[9.0671796e-04 9.7163761e-01 2.7455641e-02]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-3.0370948  6.08094   -2.163444 ],[1.0962921e-04 9.9962771e-01 2.6263215e-04]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.8327978  5.396962  -1.5022237],[9.7968332e-05 9.9889451e-01 1.0074909e-03]
4,neutral,negative,MISS,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 0.55125886  4.2780027  -2.8492887 ],[2.3486875e-02 9.7572970e-01 7.8340457e-04]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-0.50495327  4.894531   -2.5598562 ],[4.495992e-03 9.949281e-01 5.759605e-04]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-2.211182  -3.6392279  3.6940548],[2.7159592e-03 6.5122498e-04 9.9663287e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 4.9559536 -1.8154571 -2.3608792],[9.9819297e-01 1.1440055e-03 6.6306256e-04]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 2.1874483   0.1520575  -0.15048683],[0.81489223 0.1064489  0.07865891]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-3.5683565  5.485793  -1.685701 ],[1.1680153e-04 9.9911565e-01 7.6749484e-04]
