,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,neutral,neutral,TRUE,"Ville være fantastisk, meeeen....",[-4.5891747  2.8165498  0.5037326],[5.5271859e-04 9.0943015e-01 9.0017222e-02]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-5.9806557 -2.2628977  6.9437103],[2.4376679e-06 1.0036364e-04 9.9989724e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-4.2997446  9.633821  -6.0429535],[8.8864664e-07 9.9999905e-01 1.5547592e-07]
3,positive,neutral,MISS,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-7.1335616 -1.1817373  6.8451514],[8.4914109e-07 3.2645572e-04 9.9967265e-01]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 9.336282 -2.078231 -6.647903],[9.9998879e-01 1.1034059e-05 1.1432787e-07]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-5.023771  9.143403 -4.876518],[7.0351621e-07 9.9999845e-01 8.1512701e-07]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-5.5467215 -4.9706545  9.607051 ],[2.6230100e-07 4.6664076e-07 9.9999928e-01]
7,neutral,negative,MISS,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[-4.4512205  7.5681987 -4.0873017],[6.0259617e-06 9.9998522e-01 8.6710979e-06]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 7.466069  -5.3003535 -1.2374474],[9.9983108e-01 2.8545646e-06 1.6597292e-04]
9,positive,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-6.3412843 -3.8338172  9.158519 ],[1.8557512e-07 2.2777128e-06 9.9999750e-01]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[10.631621  -4.998645  -4.2546577],[9.9999952e-01 1.6287764e-07 3.4274487e-07]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-5.554398  9.423978 -4.887698],[3.1258875e-07 9.9999905e-01 6.0886032e-07]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[-4.8386655  8.779103  -4.21605  ],[1.2186430e-06 9.9999654e-01 2.2713029e-06]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 8.635093  -3.128058  -3.8995028],[9.999887e-01 7.786162e-06 3.599892e-06]
