,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,neutral,neutral,TRUE,"Ville være fantastisk, meeeen....",[-4.6542597   2.905668    0.46798447],[4.7883124e-04 9.1921568e-01 8.0305435e-02]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-6.0128183 -2.2729073  6.991185 ],[2.2510796e-06 9.4757510e-05 9.9990296e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-4.3533454  9.715736  -6.065192 ],[7.7602340e-07 9.9999905e-01 1.4009717e-07]
3,positive,neutral,MISS,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-7.1831245 -1.1733836  6.894125 ],[7.6947003e-07 3.1346493e-04 9.9968576e-01]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 9.412566  -2.1025715 -6.682458 ],[9.9998987e-01 9.9778017e-06 1.0233294e-07]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-5.0881214  9.244789  -4.914795 ],[5.9606754e-07 9.9999869e-01 7.0887592e-07]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-5.572511 -5.004438  9.677416],[2.3825407e-07 4.2048586e-07 9.9999928e-01]
7,neutral,negative,MISS,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[-4.4680357  7.643211  -4.1375937],[5.497269e-06 9.999869e-01 7.649902e-06]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 7.545168  -5.3402524 -1.2586772],[9.9984729e-01 2.5343520e-06 1.5013164e-04]
9,positive,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-6.359628 -3.884658  9.23857 ],[1.6818521e-07 1.9982670e-06 9.9999785e-01]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[10.703684  -5.0232716 -4.284257 ],[9.9999952e-01 1.4786652e-07 3.0961345e-07]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-5.597162  9.500676 -4.916371],[2.7739085e-07 9.9999917e-01 5.4796834e-07]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[-4.887112  8.865114 -4.251609],[1.0653267e-06 9.9999690e-01 2.0113064e-06]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 8.712051  -3.1535454 -3.941879 ],[9.9998975e-01 7.0280098e-06 3.1949444e-06]
14,negative,neutral,MISS,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[ 9.5460415 -5.063107  -3.4925337],[9.9999738e-01 4.5219574e-07 2.1747915e-06]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-6.1974406 -4.084326   9.091068 ],[2.2923652e-07 1.8966977e-06 9.9999785e-01]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[10.520606  -4.6828074 -4.715787 ],[9.999995e-01 2.495982e-07 2.415007e-07]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-6.0403447  8.064392  -3.688553 ],[7.4883667e-07 9.9999142e-01 7.8660578e-06]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-7.6135526  6.266353  -1.2112397],[9.3710344e-07 9.9943370e-01 5.6529697e-04]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-6.893107  -3.1066995  8.387012 ],[2.3116610e-07 1.0193892e-05 9.9998963e-01]
20,neutral,neutral,TRUE,"Og nej, det er ikke passivt.",[-4.2791576  7.4876347 -3.968885 ],[7.7578088e-06 9.9998164e-01 1.0580070e-05]
