,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[ 2.0971117 -5.345015   2.9067633],[3.0790919e-01 1.8044627e-04 6.9191039e-01]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-4.464234  -3.2304044  6.9779725],[1.0732287e-05 3.6858495e-05 9.9995244e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-3.0671005  6.720108  -3.5426002],[5.6160345e-05 9.9990892e-01 3.4907818e-05]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-4.9651766  3.4425068  1.2582254],[2.0053006e-04 8.9864880e-01 1.0115065e-01]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 5.798766   1.1810044 -5.9678864],[9.9021417e-01 9.7782407e-03 7.6831020e-06]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[ 0.68987155  2.9341578  -3.791702  ],[0.09573963 0.903177   0.00108335]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-3.7445016 -4.517612   7.1383333],[1.8777282e-05 8.6671353e-06 9.9997258e-01]
7,neutral,negative,MISS,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[-0.22323027  1.0518725  -1.0475335 ],[0.1992981  0.71330166 0.08740028]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 7.5852437 -2.2983348 -4.378369 ],[9.9994266e-01 5.1002513e-05 6.3715365e-06]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-4.6666346  3.026082   0.9623062],[4.04581631e-04 8.86973262e-01 1.12622224e-01]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 1.6545475  1.5144897 -2.3697062],[0.5298898  0.46063748 0.00947271]
