,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[ 0.8330153 -4.009577   3.227288 ],[8.355538e-02 6.589665e-04 9.157857e-01]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-5.362755  -2.4607105  6.847324 ],[4.9795308e-06 9.0683905e-05 9.9990427e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-3.8266451  7.1344376 -3.595254 ],[1.7363820e-05 9.9996066e-01 2.1884527e-05]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-5.013538   3.093374   1.2899297],[2.5874691e-04 8.5834551e-01 1.4139572e-01]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 8.769462 -2.012618 -5.437826],[9.9997854e-01 2.0767919e-05 6.7584011e-07]
5,negative,neutral,MISS,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[ 2.2720206  2.1138947 -4.367327 ],[0.539069   0.46022597 0.00070504]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-4.859129  -4.3283362  7.94969  ],[2.7365127e-06 4.6528344e-06 9.9999261e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 1.2480496   0.44383505 -1.6361064 ],[0.665185   0.29762983 0.03718514]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 6.97263    -0.24011786 -5.3988395 ],[9.992592e-01 7.365827e-04 4.234647e-06]
9,positive,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-5.0775685  1.5398786  2.264985 ],[4.3597975e-04 3.2612726e-01 6.7343676e-01]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 2.6481888   0.62906194 -2.7004066 ],[0.8791007  0.11671937 0.00417997]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-4.160459  7.257095 -3.00211 ],[1.1000169e-05 9.9995399e-01 3.5031921e-05]
12,negative,negative,TRUE,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 3.8916452  2.1222415 -5.537846 ],[8.543249e-01 1.456065e-01 6.861943e-05]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 2.500312  -4.524107   1.8521608],[6.5621030e-01 5.8395142e-04 3.4320575e-01]
14,negative,neutral,MISS,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[ 4.1632066 -2.1119368 -1.4721141],[0.9945775  0.00187231 0.00355018]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-4.0402684 -4.6676083  7.5591593],[9.1712009e-06 4.8975203e-06 9.9998593e-01]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 7.4945445 -4.241993  -2.2485936],[9.9993336e-01 7.9957163e-06 5.8692131e-05]
17,positive,neutral,MISS,Blågårdsgade 2. Look for Sasaa at Facebook,[-6.243404   0.2698366  5.438521 ],[8.3972254e-06 5.6597884e-03 9.9433184e-01]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-2.793658   5.8966093 -3.2276833],[1.68168408e-04 9.99722898e-01 1.08955675e-04]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-5.7047205 -2.9933877  7.5729175],[1.7123139e-06 2.5769146e-05 9.9997246e-01]
20,neutral,neutral,TRUE,"Og nej, det er ikke passivt.",[ 0.16699688  5.8199234  -5.8304543 ],[3.4949498e-03 9.9649638e-01 8.6852260e-06]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 9.1072235 -3.8549263 -3.9091978],[9.9999535e-01 2.3475127e-06 2.2235047e-06]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-4.2934937  6.535908  -2.0957694],[1.9804525e-05 9.9980193e-01 1.7832982e-04]
