,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-1.2884473 -4.0037947  4.562371 ],[2.8687429e-03 1.8985893e-04 9.9694139e-01]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-4.450209  -1.8097311  5.578249 ],[4.4096938e-05 6.1823463e-04 9.9933761e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-3.391534   4.969245  -1.8803113],[2.3355996e-04 9.9870789e-01 1.0585568e-03]
3,positive,neutral,MISS,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.660686   1.2813777  2.3893137],[0.00176937 0.24781664 0.750414  ]
4,neutral,negative,MISS,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 1.9063224  3.0287712 -4.282436 ],[2.4543363e-01 7.5406259e-01 5.0372165e-04]
5,negative,neutral,MISS,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[ 1.5715357  0.7479397 -2.637415 ],[0.6878938  0.3018827  0.01022345]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-3.6210127 -3.6363728  6.2579403],[5.1236693e-05 5.0455714e-05 9.9989831e-01]
7,positive,negative,MISS,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[-2.804582  -0.6152339  2.7627451],[0.00368103 0.03286937 0.9634496 ]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 5.378466   -0.25623962 -4.2117143 ],[9.9637306e-01 3.5587742e-03 6.8149006e-05]
9,positive,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-4.0296645 -1.7897522  4.808925 ],[1.4480890e-04 1.3601182e-03 9.9849510e-01]
