,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-2.2947326 -2.484064   4.335184 ],[0.0013171  0.00108991 0.997593  ]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-3.3076355  -0.20270558  3.3623123 ],[0.00123204 0.02748391 0.97128403]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-0.19432373  0.69864887 -0.6928419 ],[0.2469252  0.603085   0.14998983]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.4716456   2.7197404   0.91353357],[0.00175508 0.85739535 0.14084956]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 4.243534    0.04467235 -4.073349  ],[9.8497230e-01 1.4787052e-02 2.4068420e-04]
5,negative,neutral,MISS,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[ 2.8969898 -0.669831  -1.6875867],[0.9629703  0.02719958 0.00983007]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-3.0011723 -2.6806602  4.9222927],[3.6183381e-04 4.9854646e-04 9.9913955e-01]
7,positive,negative,MISS,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[-1.7726834  0.6575872  0.8362466],[0.03854089 0.43789998 0.5235591 ]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 4.4153175  -0.21595398 -3.4880807 ],[9.8998940e-01 9.6448381e-03 3.6578692e-04]
9,positive,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-3.8934124 -1.3284906  4.5276175],[2.1951107e-04 2.8535658e-03 9.9692696e-01]
10,neutral,neutral,TRUE,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 0.2445112   0.49023935 -0.29946572],[0.3497742  0.44720447 0.2030213 ]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-1.9039433  3.422652  -1.3258557],[0.00479573 0.98665524 0.00854899]
12,negative,negative,TRUE,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 1.8201236  1.4370897 -2.939688 ],[0.591591   0.4033407  0.00506829]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 0.8223081 -1.0966616  0.1400739],[0.60523736 0.08882348 0.3059392 ]
14,negative,neutral,MISS,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[ 0.42719325  0.42326245 -0.16960444],[0.39267293 0.3911324  0.21619466]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-2.7223454 -1.938255   4.0878124],[0.00109865 0.00240651 0.9964948 ]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 4.757174  -1.5530403 -2.325844 ],[9.9735010e-01 1.8128275e-03 8.3701237e-04]
17,positive,neutral,MISS,Blågårdsgade 2. Look for Sasaa at Facebook,[-3.2845879  -0.35192496  3.4100013 ],[0.00120802 0.02268372 0.97610825]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-2.5643446   2.4157782   0.25418836],[0.00612578 0.8912536  0.10262065]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-3.8550503  -0.81223077  4.0025873 ],[3.8352836e-04 8.0403918e-03 9.9157614e-01]
20,neutral,neutral,TRUE,"Og nej, det er ikke passivt.",[-1.272049   2.9549503 -2.214935 ],[0.01430598 0.98012185 0.00557221]
