,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,neutral,neutral,TRUE,@USER @USER @USER Helt ærligt I spillede fantastisk! I spillede Fnatic ud af banen igår. Der er bare så stor afstand op til G2. EU sender helt klart det bedste hold til MSI. Håber i kan lære noget af G2 når i hopper ind i summersplit. Held og lykke og god ferie :),[-4.898444  6.005625 -3.762225],[1.8381892e-05 9.9992442e-01 5.7259014e-05]
1,negative,negative,TRUE,"@USER Nu har jeg ikke set straffesparket fra Pokalkampen Fcb-Bremen men har læst at det var skandaløst at den blev dømt. (Kun Bayernfolk der mente den var god nok) men når dommeren er blevet frataget kommende tjanser, og DFB har været ude og undskylde, så er der et kæmpe problem",[ 6.421253  -4.326196  -3.2915306],[9.9991798e-01 2.1498405e-05 6.0500082e-05]
2,negative,negative,TRUE,"@USER Det var faktisk kun derfor tweetet blev skrevet, så jeg kunne smide den bombe! 💣",[ 8.099023  -4.88861   -4.7293935],[9.9999499e-01 2.2884458e-06 2.6834109e-06]
3,neutral,neutral,TRUE,@USER @USER Præcis... Det er jo FREDENS religion😏,[-4.8587017  6.033944  -3.852218 ],[1.8593188e-05 9.9993050e-01 5.0870298e-05]
4,positive,positive,TRUE,Merete Eldrup stopper som topchef i TV 2 [LINK],[-4.8284807 -3.2611804  5.8150067],[2.38523917e-05 1.14341005e-04 9.99861836e-01]
5,positive,positive,TRUE,Nordjysk firma står bag Tysklands største solvarmeanlæg [LINK] [LINK],[-3.9171367 -4.4507422  6.1433196],[4.2733642e-05 2.5062705e-05 9.9993217e-01]
6,neutral,neutral,TRUE,at få elever til at vælge en håndværkeruddannelse kræver at de ser håndværksfagene som en attraktiv vej ind i et spændende arbejdsliv. Heldigvis er det ikke længere lavstatus at være håndværker...... [LINK],[-4.995988   6.161626  -3.9184973],[1.4265449e-05 9.9994373e-01 4.1901909e-05]
7,positive,positive,TRUE,"@USER @USER Det er vel ikke mediernes opgave at opdrage danskerne til at opføre sig ordentligt ? @USER belyser et problem og en udfordring. Men det er da op til os på stemmesedlen at få gjort noget ved problemet. Thumps up for den leder Tom #dkpol #dkmedier #ftvalg2019 
#krp",[-3.923045  -4.4462056  6.122386 ],[4.3380511e-05 2.5709212e-05 9.9993086e-01]
8,positive,positive,TRUE,"PET er ikke blevet informeret i en lang række sager om radikaliseringsmistænkte på asylcentre og udrejsecentre. Heller ikke når de er forsvundet fra centrene. 46 er væk, og kun i 3 af sagerne er PET blevet orienteret om det. Samråd på tirsdag #dkpol @USER [LINK]",[-3.8134072 -4.461262   6.052213 ],[5.1925541e-05 2.7165725e-05 9.9992085e-01]
9,negative,neutral,MISS,"@USER Det kan du sige, men med Artikel 13 bliver det jo det samme alle steder som fx også YouTube. Og som privat har man bare ikke det samme resch på sin egen blog",[ 7.314015 -4.565416 -4.100616],[9.999820e-01 6.931400e-06 1.103268e-05]
10,neutral,neutral,TRUE,"Søndag kl. 12.00 går det løs ude mod Hobro IK på DS Arena.

Nicolai Poulsen er ude med karantæne, mens Mads Aaquist er skadet. Kevin Conboy døjer lidt med en skade og starter på bænken. På bænken sidder også U19-spilleren Tobias Klysner, der kan få debut #randersfc #sldk [LINK]",[-5.3495126  5.210626  -2.5829496],[2.5917894e-05 9.9956185e-01 4.1219499e-04]
11,positive,positive,TRUE,Fredagens Sikre valg fra den franske liga.. Så blev det weekend igen og foråret ser ud til virkelig at have taget godt fat i Danmark og det er jo noget der får humøret til at stige helt automatisk. [LINK],[-4.596042 -4.031561  6.28928 ],[1.8730183e-05 3.2937707e-05 9.9994838e-01]
12,positive,positive,TRUE,"@USER @USER Paludan er vanvittig,men det virkelig problem er at vi har mennesker i vores samfund, der ikke vil acceptere de helt grundlæggende friheder om retten til at ytrer sig. I et sekulært samfund, skal religion kun tåle at bliver hånet, latterliggjort og kritiseret i enhver form #dkpol",[-3.9455845 -4.4661355  6.169907 ],[4.0445451e-05 2.4032415e-05 9.9993551e-01]
13,neutral,neutral,TRUE,Hvad betyder politiske beslutninger for vores velfærd i de danske byer? Vi bidrager gerne med uafhængig byøkonomisk viden til dit #fmdk arrangement. #dkbiz #uddpol #dktrp #dkbolig #dkforsk. Kontakt:[LINK] [LINK],[-5.6386585  3.898304  -0.991532 ],[7.159190e-05 9.924624e-01 7.465955e-03]
14,positive,neutral,MISS,Når man er på besøg på en anden afdeling af ens virksomhed og kollegerne der behandler en som en spændende ny livsform og med stor respekt. Det er sgu sjovt :-D #arbejde #menneskerersjove #tillidsvalgt #hygge,[-4.805071  -2.5486834  5.164184 ],[4.6794299e-05 4.4681702e-04 9.9950635e-01]
15,neutral,positive,MISS,"@USER I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[-4.915267   6.1445885 -3.94923  ],[1.5730446e-05 9.9994290e-01 4.1331907e-05]
16,negative,negative,TRUE,"""Nu er det op til May-regeringen selv at vælge enten den ansvarlige kurs, som EU har skitseret – eller at fortsætte kursen mod Hard Brexit""

Professor Derek Beach: May insisterer på at føre Storbritannien mod afgrunden (abon): [LINK] #dkpol #eudk [LINK]",[ 7.9556065 -4.756451  -4.7252812],[9.9999392e-01 3.0145404e-06 3.1099828e-06]
17,neutral,neutral,TRUE,"Hvis du ikke er i fanzonen og gerne vil høre @USER-live. Så kan du nå det endnu. I panelet er @USER, @USER, @USER og Kasper Fisker. Skynd dig💛💙 [LINK]",[-5.4699864  5.314012  -2.6682055],[2.0721045e-05 9.9963784e-01 3.4135758e-04]
18,positive,positive,TRUE,"@USER @USER Ved ikke om det er fair eller ej, men som forbruger mener jeg det er fair nok. Kvickly vil også gerne selv sammenligne sig med andre. Så syntes jeg Rema er en del over discountniveauet. Jeg lægger også stortset alle indkøb i Rema og er iøvrigt tidligere Coop ansat 😉",[-4.1357975 -4.361101   6.2421236],[3.1110132e-05 2.4834404e-05 9.9994409e-01]
19,neutral,negative,MISS,"@USER Men fair nok. Det er muligvis blevet bedre. Synes det, at det er underligt at sætte Messi under loop efter én gang, hvor han giver efter for de utallige svinestreger, han bliver udsat for. Jeg synes bestemt ikke det er kendetegnene for hans spil.",[ 1.0433022  1.7383053 -4.6252785],[0.33253878 0.66631305 0.00114818]
20,neutral,neutral,TRUE,@USER @USER @USER Bekræfte hvad?,[-5.0339622  6.0737395 -3.7953477],[1.4995370e-05 9.9993324e-01 5.1746487e-05]
21,negative,negative,TRUE,"Denne artikel om Socialdemokratiets (kommende?) kulturpolitik er blevet diskuteret grundigt de seneste dage. Det er skønt, at kulturpolitik, der ellers ofte er i bunden af vælgernes prioriterede... [LINK]",[ 7.9339733 -4.7822623 -4.6739545],[9.9999368e-01 3.0019683e-06 3.3453689e-06]
22,neutral,neutral,TRUE,@USER @USER Har du et link?,[-4.7628345  6.2671833 -4.1998954],[1.6207079e-05 9.9995530e-01 2.8456787e-05]
23,positive,positive,TRUE,"@USER @USER Uhh jeg er helt klar over grunden, det ændrer ikke på et grundfundament i et demokrati, er at, de folkevalgte stiller sig selv til rådighed for befolkningen igennem #dkmedier især når der er truffet upopulære beslutninger.",[-4.162258  -4.4068007  6.281586 ],[2.9125520e-05 2.2807095e-05 9.9994802e-01]
24,positive,neutral,MISS,"@USER Ej.. Nu må den ""jeg føler mig krænket""-plage, der har ramt landet, simpelthen stoppe!!! Kan ikke holde det ud.. Det er SATIRE.. Slå det op, læs om det, hvis I ikke forstår det..!!!",[-4.72717   -3.7456906  6.147369 ],[1.8932929e-05 5.0520608e-05 9.9993050e-01]
25,positive,neutral,MISS,"Virkeligheden kalder @USER
[LINK]
Lytter du?
225 timers reglen er utroligt stressende. Det skubber en stor andel længere væk fra job. Endda #ptsd ramte kan omfattet af 225 timers reglen! #Vejle 
#dksocial #225timer #365timer #kontanthjælpsloftet",[-3.2524178 -4.554363   5.646482 ],[1.3651531e-04 3.7132482e-05 9.9982637e-01]
26,positive,positive,TRUE,"RT @USER: Der findes gode mennesker
Der findes onde mennesker
Og så er der dem som mig
😂😂😂😂",[-3.779907  -4.502141   6.0505185],[5.3785581e-05 2.6121814e-05 9.9992013e-01]
27,positive,negative,MISS,"Finland tager prisen for mest fucked up valgsystem i Nordeuropa. Ingen som helst sammenhæng mellem frem- og tilbagegang og mandattal. Det er helt fjollet. #vaalit19 

 [LINK]",[-4.3660293 -4.149114   6.245749 ],[2.4622906e-05 3.0587526e-05 9.9994481e-01]
28,neutral,neutral,TRUE,"Har du booket sommerferien? Super! Næste trin er at opkvalificere dig inden det bliver alt for varmt. Læs mere om tilbud på Leading SAFe (SA), Product Owner og Scrum Master kurser: [LINK] #agile #training #summer [LINK]",[-4.7986345  6.1973014 -4.0990286],[1.6768876e-05 9.9994946e-01 3.3755066e-05]
29,neutral,negative,MISS,Denne her perspektivering på lønudviklingen i #pldk bliver du næppe overrasket over. Men du bliver bestemt heller ikke dummere af at læse den [LINK],[-3.5854685  3.8780036 -2.100221 ],[5.7188398e-04 9.9690264e-01 2.5254730e-03]
30,neutral,negative,MISS,Lyt med på vores podcast #AOFoplyser hvor vi præsenterer alle spidskandidater til #ep2019dk ITunes: [LINK] SoundCloud: [LINK] #dkpol [LINK],[-1.2888961   0.5093308  -0.31836963],[0.10332432 0.62396836 0.27270734]
31,positive,positive,TRUE,Eriksen om sejrsmål: Det var ren lettelse [LINK] #pldk,[-3.4036858 -4.441467   5.728633 ],[1.0809881e-04 3.8292917e-05 9.9985361e-01]
32,positive,negative,MISS,"Anmeldelse: Carl Holst knockoutet af politik, pressen, politiet og pøbelen (Dette er en plus-artikel) [LINK]",[-4.48913   -4.2031603  6.372679 ],[1.9175954e-05 2.5524172e-05 9.9995530e-01]
33,positive,positive,TRUE,"Ungdommens (og mange andres) ønske til et nyt folketing: bevar adgangen til natur, så alle børn og unge kan komme ud og få oplevelser, der styrker dem [LINK] 
#friluftslivforalle #dkgreen #dkpol #fv19 Tak til @USER for at give ungdommens ønske videre",[-3.529328  -4.5576386  5.8818994],[8.179141e-05 2.924947e-05 9.998889e-01]
34,neutral,neutral,TRUE,Lørdagens transferrygter: United genoptager jagten på Juventus-spiller [LINK] #pldk,[-4.6642814  4.55541   -2.1912692],[9.8943230e-05 9.9872774e-01 1.1732796e-03]
35,neutral,positive,MISS,Guardiola: Medierne vil have Liverpool til at vinde mesterskabet [LINK] #pldk,[-4.553643   3.4696121 -1.0728225],[3.2419327e-04 9.8914403e-01 1.0531863e-02]
36,positive,positive,TRUE,"🤔 TÆNK DIG GRUNDIGT OM, FØR DU SKAL STEMME 🤔

💚🙏❤️

PS: Jeg kan ikke finde Mette på nogen af billederne. Hvordan kan det være? Hvilken ‘blok’ er hun og S en del af?

#dkpol
#dkmedier
#alternativet
#dereretalternativ 
#grøntvalg 
#tidtilforandring
#derforuffe [LINK]",[-4.0423574 -4.3538394  6.1605644],[3.7059486e-05 2.7140906e-05 9.9993575e-01]
37,positive,positive,TRUE,"@USER Ja, han løber de unge gutter op 😉",[-4.6319876 -3.917449   6.2328696],[1.9117339e-05 3.9061379e-05 9.9994183e-01]
38,negative,negative,TRUE,"@USER Hvis man som stat mener, at en som Rasmus Paludan skal beskyttes for hans tydelig provokation af den muslimske minoritet, jamen så er det klart at minoriteten reagere som de gør. De er ikke de skyldige i denne sag.",[ 7.9612446 -4.661081  -4.8017163],[9.9999380e-01 3.2975456e-06 2.8649301e-06]
39,neutral,neutral,TRUE,@USER Og det er blandt andet derfor det er en skøn artikel 😉,[-4.881073   6.217919  -4.0749197],[1.5126832e-05 9.9995100e-01 3.3873144e-05]
40,positive,positive,TRUE,Trump vil erklære nødretstilstand for at få grænsemur: Vi har en invasion af narko og en invasion af mennesker [LINK] [LINK],[-4.699397  -3.464847   5.8910646],[2.5151998e-05 8.6443215e-05 9.9988842e-01]
41,neutral,negative,MISS,"@USER Stå til højre, gå til venstre.",[ 0.35607168  2.128227   -4.1067047 ],[0.14503157 0.85329616 0.00167226]
42,negative,negative,TRUE,"Kan vi ikke udvise empati og respekt for mennesket, er vi et fattigt folk. [LINK]",[ 7.9468203 -4.7657943 -4.6859527],[9.9999380e-01 3.0128617e-06 3.2632770e-06]
43,neutral,neutral,TRUE,Som 15-årig tilsluttede hun sig IS: Nu er hun gravid og vil hjem [LINK] [LINK],[-5.7813106  4.510965  -1.602901 ],[3.3817956e-05 9.9775922e-01 2.2070266e-03]
