,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-4.3050528   0.39619148  4.2342777 ],[1.9146067e-04 2.1076770e-02 9.7873175e-01]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-5.1394744  1.2396129  4.2417545],[8.0295620e-05 4.7325425e-02 9.5259428e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-3.2779102  6.181339  -3.00449  ],[7.7951008e-05 9.9981958e-01 1.0246291e-04]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.5551357  6.0282903 -2.5740738],[6.8843270e-05 9.9974746e-01 1.8362477e-04]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 6.987687  -2.8401186 -4.349022 ],[9.9993420e-01 5.3927430e-05 1.1926177e-05]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[ 1.1672429  4.130844  -5.6127176],[4.9094871e-02 9.5084935e-01 5.5787463e-05]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-4.476775  -1.0637039  5.7495937],[3.6161939e-05 1.0978163e-03 9.9886608e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 3.1951544  2.4623656 -5.912269 ],[6.7536634e-01 3.2455873e-01 7.4857540e-05]
8,neutral,negative,MISS,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 1.4207547  3.858349  -5.6105113],[8.034478e-02 9.195842e-01 7.100969e-05]
9,positive,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-4.580035  -1.2938876  6.0476284],[2.4219908e-05 6.4763182e-04 9.9932814e-01]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 7.0876045 -3.308013  -4.1154413],[9.99955893e-01 3.05647991e-05 1.36320095e-05]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-2.9520724  6.3329306 -3.4729497],[9.2791954e-05 9.9985206e-01 5.5118318e-05]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 1.3796997  3.4699411 -5.1932316],[1.1003201e-01 8.8981426e-01 1.5379112e-04]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 6.990003  -3.5157354 -3.7749474],[9.9995148e-01 2.7377562e-05 2.1126143e-05]
14,negative,neutral,MISS,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[ 3.2958813  2.2573411 -5.82736  ],[7.3850876e-01 2.6141074e-01 8.0571648e-05]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-4.359164  -1.0673482  5.5793667],[4.8213256e-05 1.2965339e-03 9.9865520e-01]
