,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-3.4234455 -2.464263   5.931947 ],[8.647073e-05 2.256508e-04 9.996879e-01]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-3.9985328 -1.6272409  5.8012385],[5.5428281e-05 5.9370470e-04 9.9935085e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-2.3205595  5.198326  -2.5092778],[5.4219906e-04 9.9900877e-01 4.4895153e-04]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-2.482364   4.7767754 -2.1638849],[7.025395e-04 9.983315e-01 9.660158e-04]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 6.0042133 -2.524191  -3.7031658],[9.997415e-01 1.977192e-04 6.081720e-05]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[ 0.23998897  4.2186055  -4.202707  ],[1.8363850e-02 9.8141998e-01 2.1603565e-04]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-3.3232644 -2.772163   6.0296044],[8.6695705e-05 1.5043122e-04 9.9976283e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 5.35909   -0.8700777 -4.6115117],[9.9798620e-01 1.9671230e-03 4.6660254e-05]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 2.740276   2.2355084 -4.9810367],[6.2340677e-01 3.7631691e-01 2.7634276e-04]
9,positive,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-3.3538835 -2.6627207  5.8736625],[9.8265249e-05 1.9614093e-04 9.9970561e-01]
