,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-3.9561257 -1.4970198  5.890116 ],[5.2910233e-05 6.1875087e-04 9.9932837e-01]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-4.344301  -0.9801942  5.806359 ],[3.9004761e-05 1.1275364e-03 9.9883348e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-3.0283895  5.17259   -1.920588 ],[2.7408186e-04 9.9889600e-01 8.2983606e-04]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.3707633  4.7344646 -1.0915874],[3.0097758e-04 9.9675888e-01 2.9401386e-03]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 6.6595287 -2.5873063 -4.2378907],[9.9988508e-01 9.6405274e-05 1.8503810e-05]
5,negative,neutral,MISS,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[ 4.0876255   0.80817705 -4.9651685 ],[9.6360826e-01 3.6278903e-02 1.1280342e-04]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-3.6980672 -2.7007437  6.5339694],[3.5993573e-05 9.7579206e-05 9.9986637e-01]
7,neutral,negative,MISS,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 1.608225   2.9775102 -4.661862 ],[2.0265763e-01 7.9695892e-01 3.8344131e-04]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 5.600537  -0.9007102 -4.76924  ],[9.9846941e-01 1.4992675e-03 3.1318286e-05]
9,positive,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-3.8414261 -2.3965664  6.4373775],[3.4347417e-05 1.4567618e-04 9.9982005e-01]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 6.8085847 -3.0815678 -4.057713 ],[9.9993026e-01 5.0667713e-05 1.9089588e-05]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-2.7726023  5.5028934 -2.5964212],[2.5453969e-04 9.9944192e-01 3.0357772e-04]
12,negative,negative,TRUE,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 3.9421208e+00  3.3953525e-03 -4.0284104e+00],[9.8056662e-01 1.9094592e-02 3.3878116e-04]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 6.6411967 -3.358684  -3.5923674],[9.9991858e-01 4.5401648e-05 3.5940498e-05]
14,negative,neutral,MISS,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[ 2.213184   2.1870184 -4.586606 ],[0.5062554  0.49318066 0.00056397]
