,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Det har jeg ingen interesse i at vide, men det er vigtigt at den slags prædikater også giver et reelt billede af hensigterne, som i første tilfælde er at forhindre radikaisering, og i andet er at skabe rammer for tryg interaktion og identifikation.",[-3.3876035  0.7122743  2.043127 ],[0.00345245 0.20829673 0.78825086]
1,negative,negative,TRUE,"I dag glemte jeg mit dankort i en butik. En medarbejder løb efter mig og gav det til mig. Med den slags held i sprøjten, så ved man bare, at resten af ugen bliver uheld på uheld på uheld. Godt det snart er mandag igen.",[ 3.6249251 -1.8709453 -2.0642896],[0.99256974 0.00407319 0.00335712]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-3.6590698  4.060493  -1.0819983],[4.4128040e-04 9.9375206e-01 5.8066072e-03]
3,neutral,neutral,TRUE,"Her er øjeblikket, der stjal opmærksomheden til Oscar-showet,",[-2.064674   3.6860104 -2.1600718],[0.00316141 0.99396485 0.00287376]
4,negative,neutral,MISS,Intet nyt i finanskriser... @ Børsen,[ 4.078421  -1.6129571 -2.9563906],[9.957624e-01 3.360637e-03 8.769518e-04]
5,neutral,neutral,TRUE,Skjern-træner: Vi tabte i sidste ende til et klart bedre hold -,[-4.0705414  2.3009865  0.9792933],[0.0013478  0.7883992  0.21025297]
6,positive,positive,TRUE,Stor ros til for ikke at støtte jeres dehumanisering af DK. #dkpol,[-2.5165532 -2.1192021  4.0773115],[0.0013641  0.00202961 0.99660635]
7,neutral,negative,MISS,"Løbehjulene har en holdbarhed på en lille måned i gennemsnit. Så smides de til skrot. Der er er ca 400 løbehjul i København. Det giver mindst (400x12) 4800 elløbehjul til skrot om året. 
I den tid, de kører, samles de op og leveres af biler.
Det er ikke grønt i min optik. #dkpol",[-1.7385451  2.9587905 -1.647498 ],[0.00894855 0.98125    0.00980153]
8,neutral,negative,MISS,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[-3.254585   3.5027392 -0.8224297],[0.00114584 0.98581064 0.01304357]
9,positive,positive,TRUE,"Jeg har tømmermænd på #delmøde19, men måtte alligevel på talerstolen for at opfordre salen til at tage fælles ansvar for at bekæmpe seksuelt upassende adfærd. har enstemmigt vedtaget at tilføje et afsnit om det til handlingsprogrammet - Jeg er rørt og glad 💪🏼",[-2.7558239 -2.1170266  4.2589216],[8.9620362e-04 1.6975909e-03 9.9740618e-01]
