,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,negative,MISS,"Et sted i Danmark 🤔
Region trodser klimamål: Sender 100 tons vasketøj på langfart 🤔
Det er resultatet af et udbud, der sparer regionen 29 millioner årligt. De mange ekstra kilometer er skidt for CO2-regnskabet. [LINK] #miljø #dkmedier #DKPol [LINK]",[-2.2469163 -1.9856387  3.3554928],[0.00365795 0.00475017 0.99159193]
1,negative,neutral,MISS,"@USER @USER @USER Det er også ulovligt at gå over for rødt, og smide cigaretskodder på gaden. Det politianmelder vi heller ikke konstant. 
Desuden er jeg ikke sikker på, de ville blive dømt. Der er lidt mere vide rammer, når det handler om satire. Og især 1. april tænker jeg.",[ 4.158788  -1.8645613 -2.3238468],[0.99606425 0.00241201 0.00152375]
2,negative,negative,TRUE,"Sort dag. @USER var som den braldrende kammerat på et fodboldhold. Han tisser i badet, får dumme gule kort. Men er også ham, der skyder fra en kropumulig vinkel og scorer. Giver omgang, selvom kontoen er i overtræk. Og som man slet ikke kan undvære, den dag han er væk. #dkmedier",[ 3.8344522 -1.6446943 -2.1589212],[0.99337596 0.00414525 0.0024787 ]
3,negative,negative,TRUE,@USER @USER @USER @USER Han er ikke frikendt. Det havde krævet en retssag. [LINK],[ 3.4268336 -0.8346126 -2.5565178],[0.9836496  0.01387133 0.00247916]
4,negative,negative,TRUE,"@USER @USER Absurd at han forsøger at sammenligne Paludan med nazister og jødernes forbrydelser mod jøderne. Så vidt jeg ved har Paludan ikke fordrevet eller udryddet nogen som helst. Paludan er Islam-kritiker, men han har en tosset, absurd, vanvittig måde at udtrykke kritikken på. #dkmedier",[ 2.342084    0.32072526 -2.5812588 ],[0.8773853  0.11623192 0.00638278]
5,positive,positive,TRUE,Ugens Buket til en brugsuddeler med overskud [LINK] #rudersdal #viborsmukt,[-2.8688166 -1.6481199  3.554006 ],[0.00161257 0.00546588 0.99292153]
6,positive,negative,MISS,"Men man kunne og det håber jeg virkelig man gør, sende ham regningen for politiets ekstraarbejde.

Det samme burde forresten ske med fodboldklubber. [LINK]",[-2.2563453 -2.01907    3.4020326],[0.00346079 0.00438756 0.9921516 ]
7,positive,neutral,MISS,"@USER @USER @USER Jeg kom lige i tanke om at jeg ville tage derhen (i kirken) efter påskemarcipan i morgen, jeg kan kigge (tror dog deres butik kun er åbent i weekenden, mrn det kan jeg også lige tjekke)",[-3.1467772 -1.0840482  3.2956922],[0.00157029 0.01235416 0.9860756 ]
8,positive,positive,TRUE,"SE MIG - SE MIG - SE MIG
Aner ikke hvornår @USER trykker på knappen, men nu varmer jeg op med en før-valg-kampagne 🚀Jeg er ikke overraskende ude på, at så mange som muligt i Østjylland, finder ud af hvem jeg er 😃 Nu er I advaret 😉 #dkpol [LINK]",[-2.7255237 -1.6873145  3.5066252],[0.00195056 0.0055087  0.9925408 ]
9,negative,negative,TRUE,"@USER Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",[ 4.1661015 -2.0623133 -2.183815 ],[0.9962943  0.00196527 0.00174042]
10,positive,positive,TRUE,"Vi tror aldrig @USER er blevet sendt live i dansk tv, men vi kan da høre @USER om de ikke er interesserede i at sende det, vi er jo en del danske @USER fans som helt sikkert vil se med. 😉💜 #BTSdk [LINK]",[-2.8346477 -1.6522554  3.546018 ],[0.00168185 0.00548649 0.9928316 ]
11,neutral,neutral,TRUE,"60.952 iværksætterselskaber nåede at blive oprettet. I dag er der lukket for nye efter mange problemer og diskussioner. FSR foreslår: Nyt Folketing bør snarest igangsætte arbejdet med et hovedeftersyn af selskabsssystemet #dkbiz #dkpol 
[LINK]",[-2.6831193  3.4084694 -1.0614525],[0.00223122 0.9864754  0.01129338]
12,positive,positive,TRUE,"Det er grineren, når folk man kan huske fra gymnasiet, bliver kendte rockmusikere, der får gode anmeldelser i Politiken 
#fugleflugten #favrskovgymftw

[LINK]",[-1.3696827 -2.0592525  2.6803985],[0.0169768  0.00851882 0.9745044 ]
13,positive,positive,TRUE,"Så nu har jeg købt et regnbueflag, som kommer med på Sydsiden på søndag!😁 🌈. Og hvis nogen har et handicap-flag, kvindeflag, jydeflag eller andet relevant, så tager jeg også gerne det med. Jeg hader næsten ingen, så længe de er Brøndbyfans! #brøndby #nejtilhomofobi",[-2.766799 -1.793345  3.622772],[0.00166876 0.00441732 0.99391395]
14,neutral,neutral,TRUE,"@USER Ved vi noget om, hvornår de melder ud efter mødet i aften? Er nysgerrig efter periodens længde og afløseren. Og hvorfor lige nu, når overgrebet ikke er sket sådan lige nu og her...",[-1.5891635  3.3703077 -1.9311002],[0.00693343 0.98814106 0.00492546]
15,neutral,neutral,TRUE,@USER @USER Hvis deres påstand er forkert på baggrund af de data de har leveret er det jo helt fint at bede om mere. I dette tilfælde ved jeg ikke om de er fyldestgørende. Det må du vurdere.,[-1.9147336  3.5071054 -1.7719734],[0.00437736 0.9905736  0.00504908]
16,neutral,negative,MISS,Bombe under nyt rostadion ved Bagsværd Sø: Bliver næppe klar til VM [LINK] [LINK],[-2.265535   3.5112262 -1.5003018],[0.00306879 0.9903349  0.00659634]
17,negative,negative,TRUE,"@USER Tal endelig ned til mange tusinde danskeres meget reele bekymringer. Det skal nok afskrække dem fra at stemme på Paludan, at du synes de er idioter...",[ 4.227503  -2.0284846 -2.2500196],[0.99655545 0.00191232 0.00153232]
18,negative,negative,TRUE,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol [LINK]",[ 3.8863199 -1.4066375 -2.4342499],[0.99322057 0.00499279 0.00178672]
19,neutral,neutral,TRUE,"@USER Det bliver i hvert fald spændende, om opblomstringen har efterladt noget blivende, eller det hele bare var zornigers værk - på godt og ondt.",[ 0.17107032  1.7743417  -1.9680555 ],[0.164284   0.8163703  0.01934571]
20,positive,neutral,MISS,"Interessant svar fra en ung mand, vi har haft med i en fokusgruppe om grænseoverskridende indhold (feks videoer fra terror): ""For det meste ser jeg sådan nogle videoer, fordi jeg bliver nødt til det - altså det her er virkeligheden.""

[LINK]",[-3.548195   1.1897556  1.5621834],[0.00355957 0.4065024  0.5899381 ]
21,negative,negative,TRUE,"@USER @USER Skræmmebilleder!!!!! Hvad dælen er det I gør? Opmaner et skræmmebillede, som oven i købet kan gøre det usikkert med regeringsskifte. I stiller det op som om, at DK kun har to valgmuligheder, DF eller RV's udlændingepolitik. Forkert, dumt, illoyalt og selvfedt.",[ 3.668766  -1.1192299 -2.5118632],[0.9897087  0.00824342 0.00204783]
22,negative,negative,TRUE,Det hænger ikke sammen - overhovedet - og er slet ikke gennemtænkt! #NokerNok #Jarlovsyndromet #ForbandedeHyklere #dkpol #dkmedier [LINK],[ 4.0252514 -1.951156  -2.1222262],[0.99534494 0.00252611 0.00212891]
23,neutral,neutral,TRUE,"@USER @USER Min pointe er, at EU ikke er en afsondret tredjepart. Det er et fællesskab, som Danmark indgår i.",[-2.9506435  3.1291459 -0.6233682],[0.00223121 0.9748989  0.02286986]
24,neutral,neutral,TRUE,"Når jeg er færdig med bachelor og andre eksamensopgaver, overvejer jeg om jeg skal gå i gang med at se Game of Thrones. For at se hvad alt hypen handler om. Hvad er det, den kan, som gør at den er så fantastisk?",[-2.410225  3.524216 -1.379525],[0.00262033 0.9900349  0.00734485]
25,neutral,negative,MISS,"@USER @USER Alle kan jo blive klogere. men det virker bare modsat, når bif fans temmelig bevidst og som en direkte provokation, synger det dagen efter, og uden at VF er i miles omkreds, det har været et stort tema og noget som der arbejdes på at få væk fra stadion. Brøndby IF tager afstand",[ 0.05215324  1.6311668  -1.7502301 ],[0.16624896 0.8063356  0.02741536]
