,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,neutral,neutral,TRUE,"Det har jeg ingen interesse i at vide, men det er vigtigt at den slags prædikater også giver et reelt billede af hensigterne, som i første tilfælde er at forhindre radikaisering, og i andet er at skabe rammer for tryg interaktion og identifikation.",[-1.7991436   1.9595504  -0.38915768],[0.02083843 0.89380956 0.08535205]
1,negative,negative,TRUE,"I dag glemte jeg mit dankort i en butik. En medarbejder løb efter mig og gav det til mig. Med den slags held i sprøjten, så ved man bare, at resten af ugen bliver uheld på uheld på uheld. Godt det snart er mandag igen.",[ 2.9717882 -1.6517105 -1.5029658],[0.9792291  0.00961444 0.01115638]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-1.8197513  2.4137309 -0.7831345],[0.01374068 0.9475152  0.03874407]
3,neutral,neutral,TRUE,"Her er øjeblikket, der stjal opmærksomheden til Oscar-showet,",[-2.022824   2.343065  -0.5401002],[0.01188718 0.9357508  0.05236214]
4,negative,neutral,MISS,Intet nyt i finanskriser... @ Børsen,[ 2.7439349 -1.0674453 -1.8601549],[0.96887165 0.02142915 0.00969919]
5,neutral,neutral,TRUE,Skjern-træner: Vi tabte i sidste ende til et klart bedre hold -,[-2.365048    1.8683052   0.24670465],[0.01196588 0.825024   0.16301006]
6,positive,positive,TRUE,Stor ros til for ikke at støtte jeres dehumanisering af DK. #dkpol,[-1.1708826 -1.4851928  2.589247 ],[0.02237924 0.01634338 0.96127737]
7,neutral,negative,MISS,"Løbehjulene har en holdbarhed på en lille måned i gennemsnit. Så smides de til skrot. Der er er ca 400 løbehjul i København. Det giver mindst (400x12) 4800 elløbehjul til skrot om året. 
I den tid, de kører, samles de op og leveres af biler.
Det er ikke grønt i min optik. #dkpol",[-0.25956643  1.5338473  -1.4220657 ],[0.13656281 0.8207335  0.04270369]
8,neutral,negative,MISS,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[-1.7449037   2.3265738  -0.77259684],[0.01605457 0.94149655 0.04244886]
9,positive,positive,TRUE,"Jeg har tømmermænd på #delmøde19, men måtte alligevel på talerstolen for at opfordre salen til at tage fælles ansvar for at bekæmpe seksuelt upassende adfærd. har enstemmigt vedtaget at tilføje et afsnit om det til handlingsprogrammet - Jeg er rørt og glad 💪🏼",[-1.5187716 -1.2451174  2.6831067],[0.01446624 0.01901963 0.9665141 ]
10,neutral,neutral,TRUE,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[-2.2817438   1.6898768   0.32836094],[0.01477739 0.7842431  0.20097958]
11,negative,negative,TRUE,"Når man lige tænker over det...
Er det egentlig ikke pudsigt at der aldrig er blevet fulgt op på denne, med en ny måling.

:-))",[ 2.833969  -1.7601078 -1.2482276],[0.9737269  0.00984589 0.01642713]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 0.4118321  1.2002151 -1.6929233],[0.3010496  0.6622598  0.03669056]
13,neutral,neutral,TRUE,Anmeldelse: Apokalypsens ryttere rider for tredje gang.,[-1.6402315  2.362728  -0.9137301],[0.01729271 0.94694877 0.03575845]
14,positive,positive,TRUE,Vi er gået ind i en nyt kapitel for bannerreklamer. Det spil gad jeg godt spille! Jeg ville nok starte med at gøre noget ved Toftegårds Plads.,[-2.2325287 -0.5245576  2.589526 ],[0.0076489  0.04220474 0.95014644]
15,positive,positive,TRUE,"RT @USER: Det gør vi nemlig 💚Kom og del din mening med os🤓
#dkpol #flerevedmere",[-1.8130944 -1.1053592  2.8097944],[0.00954043 0.01936126 0.97109824]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 3.0513208 -1.508908  -1.745198 ],[0.9816258  0.01026748 0.0081067 ]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-1.983042   2.3194833 -0.5616389],[0.01265357 0.93492365 0.05242286]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-2.0913818   2.18119    -0.31273445],[0.01271818 0.9119669  0.07531501]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-1.7567861 -1.1664857  2.811471 ],[0.01008262 0.0181944  0.9717229 ]
20,negative,negative,TRUE,Enig. Men hvor mange børn skal det også gå ud over? Hvor galt skal det gå før børnene bliver taget alvorligt? #hvorerderenvoksen #dkpol,[ 1.9567469  -0.21005699 -1.9123843 ],[0.88073164 0.10088176 0.01838659]
21,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 3.0356705 -1.3989933 -1.8454956],[0.9809238  0.01163283 0.00744341]
22,neutral,negative,MISS,Han er ikke frikendt. Det havde krævet en retssag.,[-1.5277405  2.3648212 -1.0179951],[0.01934191 0.94845647 0.03220171]
23,negative,negative,TRUE,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[ 2.5898268 -0.758015  -2.0043428],[0.9566899  0.03363737 0.00967272]
24,neutral,negative,MISS,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[-1.3993077  2.1828597 -0.9737037],[0.02598625 0.9342414  0.03977234]
25,negative,negative,TRUE,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 3.0108907 -1.3644354 -1.8544865],[0.98011065 0.01233375 0.00755559]
26,neutral,positive,MISS,"Arealer, der selv springer i skov er ikke i konflikt med gode klimaløsninger, OG de giver sandsynligvis en højere grad af biodiversitet #dkpol #dknatur",[-1.5127535  2.2129998 -0.8871558],[0.02253681 0.9353337  0.04212948]
27,neutral,negative,MISS,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[-0.25734064  1.6692561  -1.541225  ],[0.12280391 0.8431844  0.0340117 ]
28,positive,positive,TRUE,"Hvis det betyder lovgivning ud fra fakta i stedet for følelser og fornemmelser, så har du min stemme, @USER.",[-2.1036417   0.92938626  0.9966652 ],[0.02274549 0.47219634 0.5050582 ]
29,positive,negative,MISS,Tillykke med sejren. Brøndby er tilbage til start ;-),[-1.7142153 -1.1726593  2.7869742],[0.01077088 0.01851168 0.97071743]
30,negative,negative,TRUE,"Når man skal udregne så tager man skatteindtægterne fra alt og alle der arbejder indenfor tobak, det eneste du fatter og glor på er moms og skat plus afgifter ALENE på tobak, men glemmer at de som arbejder med tobak også betaler, så forsæt bare dine løgne",[ 3.0378084 -1.5260702 -1.7147238],[0.9813048  0.01022673 0.00846848]
31,negative,neutral,MISS,Og læste du ikke Niggli et al?,[ 2.9934855 -1.3453633 -1.8492031],[0.97949207 0.01278389 0.0077241 ]
32,negative,negative,TRUE,"Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",[ 3.031915  -1.5978209 -1.6462816],[0.98130316 0.0095749  0.00912196]
33,negative,negative,TRUE,Techordfører (hvis det findes) og medieordfører fra Dansk Folkeparti. Kunne jo så passende forklare hvad de har gang i #radio24syv,[ 2.571593  -1.5440319 -1.1524147],[0.96112007 0.01568139 0.0231986 ]
34,neutral,neutral,TRUE,"Nyt vækstforløb kickstarter innovation i Det Blå Danmark. Fem danske startups er udvalgt til at samarbejde med landets største selskaber i den maritime branche.
[LINK] #dkstartup #dkbiz #cphftw",[-2.3077095   1.9565761   0.09157491],[0.01202944 0.8554628  0.13250777]
35,neutral,positive,MISS,Danmark genvinder EM-guld i badminton for blandede hold,[-1.8875366   2.351855   -0.67199254],[0.01356157 0.9407071  0.04573136]
36,neutral,positive,MISS,Viacom letter på aftale med AT&amp;T og topper S&amp;P 500-indekset,[-1.7234627   2.4013126  -0.86707467],[0.01533541 0.9485551  0.03610938]
37,negative,neutral,MISS,det er faktisk ret interessant. Når jeg er afsted alene eller med andre voksne ænser jeg slet ikke sproget. Det er bare en del af stadion-larmen. Når jeg er afsted med ungerne bider jeg virkelig mærke i hvor grimt der snakkes og råbes.,[ 3.0180147 -1.571484  -1.6343453],[0.9806835  0.00996174 0.0093548 ]
38,neutral,neutral,TRUE,Venezuelas præsidentudfordrer får udrejseforbud,[-1.5373802  2.377541  -1.0309869],[0.01893781 0.9496387  0.03142343]
39,neutral,negative,MISS,"Det tror jeg nu godt at man kunne få en længere debat omkring, hvem det egentlig er han mener her. Han får et konkret spørsmål, men bruger et generaliserende sprog i hans svar.....

Hvad han egentlig mener, er der nok ikke mange der er i tvivl om.",[-1.4872949  2.3356295 -1.0250187],[0.02069303 0.9464529  0.03285399]
