,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-1.4770459 -3.2942991  5.920544 ],[6.1229151e-04 9.9479817e-05 9.9928826e-01]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-2.405738  -3.5925303  7.1773143],[6.888015e-05 2.102215e-05 9.999101e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-2.6778338  5.276807  -2.7335668],[3.5078987e-04 9.9931741e-01 3.3177386e-04]
3,positive,neutral,MISS,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-2.4111323 -1.2676948  4.6642175],[8.4274780e-04 2.6441503e-03 9.9651307e-01]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 6.213625 -3.743092 -3.038579],[9.9985671e-01 4.7401354e-05 9.5886324e-05]
5,negative,neutral,MISS,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[ 5.071131  -2.6755795 -2.614055 ],[9.9910909e-01 4.3177666e-04 4.5917570e-04]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-2.288464  -3.6535952  7.1298547],[8.1214181e-05 2.0737807e-05 9.9989808e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 6.1894636 -4.560165  -2.1897845],[9.9974900e-01 2.1448002e-05 2.2952499e-04]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 5.341736  -3.547741  -1.8837243],[9.9913520e-01 1.3771256e-04 7.2718813e-04]
9,positive,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-1.6369047 -1.1623787  3.6075046],[0.00520532 0.00836627 0.98642844]
