,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-1.725995  -1.7859085  4.487932 ],[0.00199361 0.00187768 0.9961287 ]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-3.958998   1.2063057  3.3238792],[6.1302341e-04 1.0733463e-01 8.9205235e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-3.3935516   3.0049477   0.33722985],[0.00155363 0.9336419  0.06480449]
3,positive,neutral,MISS,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-2.309015  -0.2968447  3.330832 ],[0.00344948 0.02580046 0.9707501 ]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 5.9757395 -0.837152  -5.5088406],[9.9889153e-01 1.0982903e-03 1.0276107e-05]
5,negative,neutral,MISS,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[ 4.871418   -0.21247116 -4.9041443 ],[9.9378622e-01 6.1572678e-03 5.6470315e-05]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-1.7351031 -2.0872765  4.727623 ],[0.0015564  0.00109439 0.99734914]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 6.5490265 -2.3642664 -4.333149 ],[9.9984658e-01 1.3456728e-04 1.8787310e-05]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 6.034862  -2.6201918 -3.2552097],[9.9973339e-01 1.7419753e-04 9.2311842e-05]
9,positive,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-1.7520572 -1.5175834  4.011064 ],[0.00311911 0.00394331 0.9929376 ]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 3.1123066  -2.2386258  -0.59185594],[0.9714732  0.0046084  0.02391847]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-2.6199822  3.77176   -1.1819706],[0.00166083 0.99134314 0.00699594]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[-3.11493    6.0560718 -3.05835  ],[1.0399003e-04 9.9978596e-01 1.1004338e-04]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 6.532096  -2.6224332 -4.0071373],[9.9986780e-01 1.0572578e-04 2.6473526e-05]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-1.6150167  4.283529  -2.657424 ],[2.7332900e-03 9.9630284e-01 9.6377102e-04]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-2.026216  -1.0841336  3.851325 ],[0.00277396 0.00711608 0.99011   ]
