,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,negative,negative,TRUE,"Hun kritiserer hvad han siger, ikke at han siger noget. Det er så nemt at læse og fårstå at det må være bevidst det bliver misforstået. Ligesom at bevidst lod som om han ikke forstod hvad mente.",[ 6.8426466 -2.8104987 -3.3345025],[9.9989772e-01 6.4216707e-05 3.8025595e-05]
1,positive,positive,TRUE,".@USER
.@USER
.@USER
.@USER
Anders Thomsen gav det polske publikum fuld valuta for pengene i årets SEC-kvalrunde 2 i Poznan. Een efter een fightede han sig helt op til det afgørende race-off og vandt det. Er videre til SEC-CH
copyright: sportxpress",[-3.6839998 -2.961218   5.6326957],[8.9885827e-05 1.8517872e-04 9.9972492e-01]
2,positive,positive,TRUE,"Tillykke med dokumentaren. Solidt arbejde, I har lavet der.",[-1.915386  -3.5087001  4.6998982],[1.3375781e-03 2.7186389e-04 9.9839056e-01]
3,neutral,neutral,TRUE,Danbolig dropper samarbejde med 15 butikker efter afsløring af kritisable metoder,[-2.8757155  6.6481133 -3.123847 ],[7.3079798e-05 9.9986994e-01 5.7021036e-05]
4,neutral,neutral,TRUE,"Frankrig løfter pegefinger mod briter inden topmøde: De skal opføre sig pænt, hvis vi forlænger #eudk #brexit",[-3.4776886  6.5562696 -2.5944893],[4.3877524e-05 9.9985003e-01 1.0612333e-04]
5,negative,neutral,MISS,"Etisk dilemma: Er det ikke også Vesten som har påduttet Afrika vores religion(er) og ‘prævention er synd/skidt’? 
Jeg mener virkelig at de selv skal bestemme, men så skal Vestens (især USAs) bistand ikke længere kunne kobles sammen med præventionsmodstand.",[ 6.9198837 -3.134656  -3.164024 ],[9.9991524e-01 4.2986499e-05 4.1742413e-05]
6,negative,negative,TRUE,Jens Jørgen Thorsen var også en provokatør - men lur mig om han ikke kunne gå til gudstjeneste juleaften uden at skulle frygte for sit liv. Det er en god ting.,[ 2.921127  -4.320982   1.1635187],[8.5238940e-01 6.1014068e-04 1.4700037e-01]
7,neutral,neutral,TRUE,Beskæftigelsesministeriet: Beskæftigelsesminister Troels Lund Poulsens kommentar til ledig,[-3.475848   6.9438157 -2.8657508],[2.9837393e-05 9.9991524e-01 5.4918994e-05]
8,negative,negative,TRUE,Jeg savner ord. Hver stemme på Paludan og hans såkaldte parti er en for meget,[ 6.9303217 -3.2561903 -3.1026974],[9.9991846e-01 3.7671998e-05 4.3921769e-05]
9,negative,negative,TRUE,Dansk Folkeparti er klar til at give togbroen dødsstødet #vaf,[ 7.054801  -3.2500594 -3.2393858],[9.9993265e-01 3.3467775e-05 3.3826909e-05]
