,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-1.4120584 -1.116953   2.7331877],[0.01527267 0.02051529 0.964212  ]
1,neutral,positive,MISS,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-1.0039012  2.5807624 -1.6713997],[0.02662816 0.95971185 0.01365999]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-2.2643886  3.0805275 -0.7798421],[0.00465217 0.974818   0.02052988]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-2.3606915   2.811477   -0.39882097],[0.00542272 0.9560076  0.03856974]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 3.0730016 -1.551314  -2.3912578],[0.9861487  0.00967448 0.00417681]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[ 0.25815856  1.6673609  -2.1829686 ],[0.19305941 0.7901322  0.01680827]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-1.9689288 -0.8319993  3.0773745],[0.00626708 0.01953563 0.97419727]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 2.6639674 -1.1883525 -2.2459161],[0.97219163 0.02064005 0.00716831]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 2.9710503 -1.4728874 -2.3549333],[0.98365825 0.01155757 0.00478409]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[ 0.8618254  1.0548587 -2.2467995],[0.4429511  0.53726566 0.01978323]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 3.2750676 -1.984502  -2.194016 ],[0.99067515 0.00514907 0.00417579]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-1.6848834  3.0004036 -1.313674 ],[0.00902602 0.97789085 0.01308309]
12,negative,negative,TRUE,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 2.7524788 -1.5285124 -1.9873502],[0.97792894 0.01352373 0.00854724]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 3.1166494 -1.7168629 -2.2789073],[0.9876589  0.0078603  0.00448071]
14,negative,neutral,MISS,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[ 2.5998447 -1.1694918 -2.1458225],[0.9692208  0.02235737 0.00842181]
15,neutral,positive,MISS,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-0.4448953  1.5347    -1.1876972],[0.1147369 0.8306737 0.0545894]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 3.349119  -2.1440656 -2.1464946],[0.9918475  0.00408117 0.00407127]
17,positive,neutral,MISS,Blågårdsgade 2. Look for Sasaa at Facebook,[-2.1024477 -0.6432738  3.0325227],[0.00570901 0.02456247 0.96972847]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-2.0201507  3.09774   -1.0704991],[0.00586278 0.97898316 0.01515416]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-2.3365028 -0.2886764  2.9015021],[0.00507498 0.03933635 0.95558864]
20,neutral,neutral,TRUE,"Og nej, det er ikke passivt.",[-1.3469572  2.8005269 -1.4787854],[0.01534894 0.9711978  0.01345321]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 3.074906  -2.1171725 -1.8400654],[0.9872679  0.00548964 0.00724253]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-1.4749954  2.8150308 -1.3648264],[0.01331827 0.9718123  0.0148694 ]
23,neutral,negative,MISS,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[-0.37842774  2.1645625  -1.9633807 ],[0.07182566 0.9134531  0.01472121]
24,neutral,negative,MISS,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[-1.4380076  2.8770168 -1.498957 ],[0.01302824 0.97471386 0.0122579 ]
25,negative,negative,TRUE,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 1.2324443  0.7247969 -2.4401069],[0.61450666 0.36987773 0.01561557]
26,negative,neutral,MISS,"Milos.. Der er en himmelvid forskel på at bruge en sexuel orientering som skældsord, og et erhverv, uanset om det er luder/bilsælger/bankmand eller håndværker. Du kan skifte erhverv, det er umiddelbart nok sværere at sexualitet. Læs tipsbladets artikel om",[ 3.1459532 -1.8093284 -2.2194746],[0.98841417 0.00696446 0.00462129]
27,positive,negative,MISS,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[-0.25543272 -0.16727057  0.33626986],[0.25646105 0.28009784 0.46344113]
28,neutral,negative,MISS,"RT @USER: Du mener: Hvem bliver nummer tre ?

Først var det skolelærerne...",[ 0.00350901  1.8779374  -2.0876613 ],[0.13087918 0.8529517  0.01616914]
29,negative,neutral,MISS,"Mediernes rolle skal forklares forfra, skriver som kommentar til ""På sin vis er der tale om ytringsfrihed på speed. Men hvis de forpligtede, uafhængige medier samtidig svækkes, får vi et demokratisk problem"" #dkmedier",[ 3.173708  -1.751702  -2.3084955],[0.98870903 0.00717778 0.00411318]
30,positive,positive,TRUE,"Ved du overhovedet hvad det ord betyder?

Jeg er fuldstændig enig med @USER. Danmark har brug for en ny retning!",[-0.86974174 -0.35255608  1.2919899 ],[0.08800131 0.14760464 0.76439404]
31,neutral,negative,MISS,Der er noget skrivere har misforstået. Han skriver en nedsænkning vil give 7000 yderlige pladser og det er AGFS ønske. AGF har ikke noget ønske om at øge kapaciteten til 27000 #ultratwitteragf,[-1.1274307  2.7278025 -1.6682394],[0.02048261 0.9675908  0.01192656]
32,negative,negative,TRUE,"Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",[ 3.2913074 -2.1439304 -2.0689087],[0.9910212  0.00432105 0.00465769]
33,negative,negative,TRUE,"Hvorfor gør #dkpol ikke noget mere for at få flere elbiler på vejene, ladestandere sat op....",[ 1.0202531   0.89416665 -2.3442369 ],[0.52188843 0.46006483 0.01804672]
34,neutral,positive,MISS,"Konkurrencestater kommer i forskellige varianter, og det samme gælder for den danske konkurrencestat 🇩🇰. Nysgerrig? Køb 'Konkurrencestatsministeren' her: #dkpol #dkøko",[-2.4288235   2.6642158  -0.14795265],[0.00575807 0.93789816 0.05634385]
35,positive,neutral,MISS,"Jo jo, men de kan jo ikke bruges som en overvældende del af holdets succes. De har ydet på visse områder, men har vel ikke været kæmpe profiler.",[-0.21558137 -0.91808647  1.1342313 ],[0.18684442 0.09255206 0.7206036 ]
36,neutral,positive,MISS,Viacom letter på aftale med AT&amp;T og topper S&amp;P 500-indekset,[-2.4314818   2.952606   -0.45457882],[0.0044222  0.9636479  0.03192985]
