,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-1.5365982 -1.3095359  2.8138716],[0.01253608 0.01573162 0.97173226]
1,neutral,positive,MISS,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-1.7227887  3.3035269 -1.841763 ],[0.00648263 0.98776186 0.00575548]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-2.8549833  4.5942345 -2.029886 ],[5.8078737e-04 9.9809378e-01 1.3254163e-03]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-2.185504   3.3940427 -1.4302473],[0.00373023 0.98833126 0.00793853]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 3.081563  -1.7760273 -2.502258 ],[0.98860395 0.00768065 0.00371535]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-2.8235898  4.708763  -2.1951334],[5.3465384e-04 9.9846303e-01 1.0023233e-03]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-2.9794564 -1.9740677  4.9480114],[3.6021357e-04 9.8445278e-04 9.9865532e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 2.0444226 -1.0383841 -1.7909708],[0.9368354  0.04293559 0.02022894]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 1.1566448   0.58940417 -2.5095727 ],[0.62788    0.35606322 0.01605678]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-2.64759    4.2348204 -1.8658259],[0.00102233 0.99674356 0.00223412]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 3.576017  -2.6982868 -2.153941 ],[0.99489486 0.00187448 0.00323064]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-2.3585658  4.342326  -2.2813053],[0.00122668 0.9974482  0.00132521]
12,negative,negative,TRUE,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 1.7779644  -1.6385586  -0.75102544],[0.8988231  0.0295051  0.07167173]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 3.4197056 -2.5004516 -2.1472383],[0.99353516 0.00266742 0.00379743]
14,negative,neutral,MISS,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[ 1.6517775  -0.17243238 -2.1845472 ],[0.84536725 0.13639584 0.01823689]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[ 0.11489645 -0.6377655   0.34253472],[0.36673802 0.17277424 0.46048766]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 4.3582425 -3.4861479 -2.5468512],[9.9860734e-01 3.9139861e-04 1.0012687e-03]
17,positive,neutral,MISS,Blågårdsgade 2. Look for Sasaa at Facebook,[-3.5661516 -0.6090914  4.1251397],[4.5260318e-04 8.7086847e-03 9.9083871e-01]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-2.855248   4.4510584 -1.9040033],[6.6967861e-04 9.9759656e-01 1.7337513e-03]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-3.3927002 -1.5188752  4.8833704],[2.5404958e-04 1.6546661e-03 9.9809128e-01]
20,neutral,neutral,TRUE,"Og nej, det er ikke passivt.",[-2.1056478  3.9389658 -2.100476 ],[0.00235938 0.995269   0.00237161]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 2.9888988 -2.9106905 -1.2130327],[0.98260087 0.00269289 0.01470624]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-1.5416303  3.5498664 -2.329317 ],[0.00609429 0.9911334  0.00277227]
23,neutral,negative,MISS,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[-1.103401   2.5900607 -1.7617955],[0.02398002 0.96360606 0.01241402]
24,neutral,negative,MISS,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[-2.4291487  4.214012  -2.096502 ],[0.00129885 0.99688965 0.00181145]
25,neutral,negative,MISS,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 0.89560413  1.138848   -2.8282363 ],[0.43487325 0.5546285  0.01049831]
26,negative,neutral,MISS,"Milos.. Der er en himmelvid forskel på at bruge en sexuel orientering som skældsord, og et erhverv, uanset om det er luder/bilsælger/bankmand eller håndværker. Du kan skifte erhverv, det er umiddelbart nok sværere at sexualitet. Læs tipsbladets artikel om",[ 3.1149712 -2.3114858 -1.9256072],[0.9892482  0.00435136 0.00640044]
27,negative,negative,TRUE,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[ 1.7538927 -1.9876496 -0.414641 ],[0.8786862  0.02084024 0.10047353]
28,negative,negative,TRUE,"RT @USER: Du mener: Hvem bliver nummer tre ?

Først var det skolelærerne...",[ 1.5627189   0.18974924 -2.51616   ],[0.7872281  0.19944698 0.01332496]
29,negative,neutral,MISS,"Mediernes rolle skal forklares forfra, skriver som kommentar til ""På sin vis er der tale om ytringsfrihed på speed. Men hvis de forpligtede, uafhængige medier samtidig svækkes, får vi et demokratisk problem"" #dkmedier",[ 1.640753   -0.29123625 -2.0575082 ],[0.8549739  0.1238513  0.02117476]
30,negative,positive,MISS,"Ved du overhovedet hvad det ord betyder?

Jeg er fuldstændig enig med @USER. Danmark har brug for en ny retning!",[ 1.7592305  -2.1082234  -0.27339533],[0.8681289  0.01815391 0.11371716]
