,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-0.93211895 -2.5071156   3.8561406 ],[0.00824408 0.00170659 0.99004936]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-1.2928789 -1.3334653  2.7979608],[0.01619426 0.01555015 0.9682556 ]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-1.3037273  4.137195  -2.5519528],[0.00431143 0.9944511  0.00123744]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-2.320311    1.3359963   0.88237643],[0.01554807 0.6019919  0.38246003]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 3.2233737  0.4910825 -2.3281522],[0.93549603 0.06087276 0.00363116]
5,positive,neutral,MISS,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-1.8430636 -0.7771193  2.708359 ],[0.01013472 0.02942696 0.96043825]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-1.2716261 -2.3253822  4.0044236],[0.00507758 0.00177017 0.99315226]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 1.8066632  1.5897695 -2.2787008],[0.54889786 0.44187132 0.00923083]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 3.1861985  0.6659147 -2.425451 ],[0.922431   0.07419738 0.00337152]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-2.0018497  1.2303418  0.7314255],[0.02397029 0.6072902  0.36873952]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 3.739898    0.03129632 -2.2224412 ],[0.97362864 0.02386536 0.00250601]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[ 0.6476174  2.516514  -2.4262936],[0.13284832 0.86100876 0.0061429 ]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[-1.4159938  3.6093922 -2.0824442],[0.00650438 0.99015546 0.00334018]
13,neutral,negative,MISS,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 0.29283902  3.2719963  -2.847198  ],[0.04827534 0.94963527 0.00208941]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-1.5454947  3.7857316 -2.0512042],[0.0048009  0.9923038  0.00289531]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-1.8001803 -1.1363455  3.1814904],[0.00672676 0.0130649  0.98020834]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 3.804213   0.4971211 -2.6839023],[0.9632575  0.03527692 0.00146551]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-2.002572    3.0022683  -0.97312343],[0.00653882 0.97515565 0.01830557]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-1.9815979   2.8405802  -0.94027174],[0.00780833 0.97007084 0.02212078]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-1.4542501 -2.221217   4.018622 ],[0.00417349 0.00193825 0.9938883 ]
20,neutral,neutral,TRUE,"Og nej, det er ikke passivt.",[-0.86383873  3.9606006  -2.798812  ],[0.00795791 0.99089277 0.00114935]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 5.0143967 -0.8930769 -2.4153066],[9.9669856e-01 2.7100707e-03 5.9140468e-04]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-0.5131342  4.093183  -3.1783452],[9.882953e-03 9.894294e-01 6.877019e-04]
23,neutral,negative,MISS,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[ 0.49974212  3.3284485  -3.154516  ],[0.05571206 0.9428462  0.00144187]
24,negative,negative,TRUE,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[ 3.0585     1.1191549 -2.799549 ],[0.8721019  0.1254066  0.00249143]
25,negative,negative,TRUE,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 3.3142576  1.0356153 -2.8815875],[0.905419   0.09273589 0.00184514]
26,negative,neutral,MISS,"Milos.. Der er en himmelvid forskel på at bruge en sexuel orientering som skældsord, og et erhverv, uanset om det er luder/bilsælger/bankmand eller håndværker. Du kan skifte erhverv, det er umiddelbart nok sværere at sexualitet. Læs tipsbladets artikel om",[ 2.4580936  1.1741527 -2.404303 ],[0.7784066  0.21557485 0.00601859]
27,negative,negative,TRUE,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[ 3.283241   1.1224779 -2.9426866],[0.8950832  0.10314682 0.00177002]
28,neutral,negative,MISS,"RT @USER: Du mener: Hvem bliver nummer tre ?

Først var det skolelærerne...",[ 1.9668812  2.3775504 -3.2799027],[0.39791635 0.5999888  0.0020948 ]
29,negative,neutral,MISS,"Mediernes rolle skal forklares forfra, skriver som kommentar til ""På sin vis er der tale om ytringsfrihed på speed. Men hvis de forpligtede, uafhængige medier samtidig svækkes, får vi et demokratisk problem"" #dkmedier",[ 4.0029426   0.04222634 -2.455892  ],[0.9798004  0.01866467 0.00153498]
30,negative,positive,MISS,"Ved du overhovedet hvad det ord betyder?

Jeg er fuldstændig enig med @USER. Danmark har brug for en ny retning!",[ 2.6207821  0.5924363 -1.9613514],[0.8758209  0.11521682 0.00896231]
31,negative,negative,TRUE,Der er noget skrivere har misforstået. Han skriver en nedsænkning vil give 7000 yderlige pladser og det er AGFS ønske. AGF har ikke noget ønske om at øge kapaciteten til 27000 #ultratwitteragf,[ 4.482261   -0.28900248 -2.496415  ],[9.9068636e-01 8.3907871e-03 9.2285994e-04]
32,negative,negative,TRUE,"Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",[ 4.6020303  -0.40064007 -2.6072109 ],[9.9259561e-01 6.6702212e-03 7.3424133e-04]
33,negative,negative,TRUE,"Hvorfor gør #dkpol ikke noget mere for at få flere elbiler på vejene, ladestandere sat op....",[ 4.175414    0.38119897 -2.8641515 ],[9.7715694e-01 2.1986578e-02 8.5648516e-04]
34,positive,positive,TRUE,"Konkurrencestater kommer i forskellige varianter, og det samme gælder for den danske konkurrencestat 🇩🇰. Nysgerrig? Køb 'Konkurrencestatsministeren' her: #dkpol #dkøko",[-1.7802368 -0.5975131  2.4621696],[0.0135431  0.04419453 0.9422624 ]
35,neutral,neutral,TRUE,"Jo jo, men de kan jo ikke bruges som en overvældende del af holdets succes. De har ydet på visse områder, men har vel ikke været kæmpe profiler.",[-1.2158655   1.3314842  -0.01825382],[0.05852949 0.74760926 0.1938612 ]
36,neutral,positive,MISS,Viacom letter på aftale med AT&amp;T og topper S&amp;P 500-indekset,[-1.8530961  3.6016195 -1.7298225],[0.00423748 0.99096924 0.00479341]
