,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-3.3221712 -2.37201    6.4860783],[5.4985194e-05 1.4219864e-04 9.9980289e-01]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-3.1093812   0.93718386  2.4617746 ],[0.00311586 0.17822944 0.81865466]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-2.4578638  6.10362   -3.1330304],[1.9128002e-04 9.9971133e-01 9.7375181e-05]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.0411026  6.1399913 -2.6929793],[1.0294220e-04 9.9975127e-01 1.4580807e-04]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 4.824947  -1.7724926 -1.634228 ],[0.99707866 0.00135987 0.00156151]
5,positive,neutral,MISS,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-1.2304242 -1.7560798  3.4950044],[0.00874355 0.0051689  0.9860875 ]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-3.5494983 -1.7676717  6.103939 ],[6.4175882e-05 3.8124964e-04 9.9955457e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 4.840301  -1.0847379 -2.1710405],[9.9643940e-01 2.6621912e-03 8.9838804e-04]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 3.8148077   0.17300428 -2.4188862 ],[0.9726044  0.02548715 0.00190843]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-3.1902065   3.4333308  -0.02052756],[0.00128634 0.9680991  0.03061457]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 4.272406    0.07802344 -2.5604253 ],[0.98409903 0.01484026 0.00106066]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-3.483109   5.3754606 -1.6547257],[1.4201236e-04 9.9897408e-01 8.8385941e-04]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[-2.756962   5.928692  -2.8804574],[1.6893914e-04 9.9968171e-01 1.4931279e-04]
13,neutral,negative,MISS,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[-2.3014927  5.734631  -2.8867788],[3.2339795e-04 9.9949646e-01 1.8011520e-04]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-2.826863   6.2458935 -2.9822402],[1.1472533e-04 9.9978703e-01 9.8215431e-05]
15,neutral,positive,MISS,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-3.6066313   4.227435   -0.39673528],[3.9201032e-04 9.8989534e-01 9.7126476e-03]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 5.9836745 -1.0784142 -2.9166677],[9.9900764e-01 8.5613551e-04 1.3620699e-04]
17,positive,neutral,MISS,Blågårdsgade 2. Look for Sasaa at Facebook,[-3.0646968  0.9645024  2.4664073],[0.00322957 0.18155333 0.8152171 ]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-3.2335644  6.036442  -2.5484877],[9.4181458e-05 9.9971896e-01 1.8684886e-04]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-3.3305252 -2.2091472  6.303127 ],[6.5470027e-05 2.0093277e-04 9.9973363e-01]
20,neutral,neutral,TRUE,"Og nej, det er ikke passivt.",[-3.11028    5.8616433 -2.4295917],[1.2687586e-04 9.9962246e-01 2.5061000e-04]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 7.3740277 -3.020004  -2.4277055],[9.9991405e-01 3.0612031e-05 5.5350829e-05]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-1.6064593  5.94221   -3.6486669],[5.2649737e-04 9.9940526e-01 6.8308764e-05]
23,neutral,negative,MISS,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[ 2.0592198  2.5575323 -3.3294177],[0.37728596 0.6209905  0.00172351]
24,negative,negative,TRUE,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[ 6.9586744 -2.3840132 -2.6457424],[9.9984491e-01 8.7590095e-05 6.7419795e-05]
25,negative,negative,TRUE,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 6.7009616 -1.7961333 -2.851048 ],[9.9972492e-01 2.0400414e-04 7.1038783e-05]
26,negative,neutral,MISS,"Milos.. Der er en himmelvid forskel på at bruge en sexuel orientering som skældsord, og et erhverv, uanset om det er luder/bilsælger/bankmand eller håndværker. Du kan skifte erhverv, det er umiddelbart nok sværere at sexualitet. Læs tipsbladets artikel om",[ 2.2197833  1.4649851 -2.3835788],[0.67561924 0.31761232 0.00676842]
27,negative,negative,TRUE,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[ 5.0599127 -0.4951594 -2.8248644],[9.9577373e-01 3.8514442e-03 3.7483961e-04]
28,neutral,negative,MISS,"RT @USER: Du mener: Hvem bliver nummer tre ?

Først var det skolelærerne...",[-0.4595333  4.827229  -3.5652666],[5.0315200e-03 9.9474299e-01 2.2537002e-04]
29,negative,neutral,MISS,"Mediernes rolle skal forklares forfra, skriver som kommentar til ""På sin vis er der tale om ytringsfrihed på speed. Men hvis de forpligtede, uafhængige medier samtidig svækkes, får vi et demokratisk problem"" #dkmedier",[ 5.9835753 -1.3918066 -2.6657262],[9.9919897e-01 6.2598550e-04 1.7510883e-04]
30,neutral,positive,MISS,"Ved du overhovedet hvad det ord betyder?

Jeg er fuldstændig enig med @USER. Danmark har brug for en ny retning!",[-1.3904935  2.4419887 -0.8174993],[0.02042876 0.9433394  0.03623183]
31,negative,negative,TRUE,Der er noget skrivere har misforstået. Han skriver en nedsænkning vil give 7000 yderlige pladser og det er AGFS ønske. AGF har ikke noget ønske om at øge kapaciteten til 27000 #ultratwitteragf,[ 7.099047  -2.9190028 -2.3331165],[9.9987531e-01 4.4582244e-05 8.0095735e-05]
32,negative,negative,TRUE,"Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",[ 5.0033183 -2.1221526 -1.7457794],[9.9802762e-01 8.0276752e-04 1.1696251e-03]
33,negative,negative,TRUE,"Hvorfor gør #dkpol ikke noget mere for at få flere elbiler på vejene, ladestandere sat op....",[ 7.1935387 -2.6826265 -2.5610313],[9.9989057e-01 5.1379320e-05 5.8022517e-05]
34,positive,positive,TRUE,"Konkurrencestater kommer i forskellige varianter, og det samme gælder for den danske konkurrencestat 🇩🇰. Nysgerrig? Køb 'Konkurrencestatsministeren' her: #dkpol #dkøko",[-2.8902378 -0.553201   4.100769 ],[9.1060949e-04 9.4252788e-03 9.8966414e-01]
35,neutral,neutral,TRUE,"Jo jo, men de kan jo ikke bruges som en overvældende del af holdets succes. De har ydet på visse områder, men har vel ikke været kæmpe profiler.",[ 0.2817254  3.9063315 -3.2927442],[2.5948428e-02 9.7332418e-01 7.2734198e-04]
36,neutral,positive,MISS,Viacom letter på aftale med AT&amp;T og topper S&amp;P 500-indekset,[-3.0255837  5.7836833 -2.4579406],[1.4928106e-04 9.9958736e-01 2.6334738e-04]
37,neutral,positive,MISS,Det er flot! Træning er heller ikke en særligt stor del af vægttab. Du kan ikke træne dig ud af dårlige spisevaner du skal spise dig ud af dem. Træning er selvfølgelig godt for en masse andre ting så det er helt fint at træne (eller ej).,[-3.0993598  2.2240613  1.1824405],[0.00359125 0.73650813 0.2599007 ]
