,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,negative,negative,TRUE,".@USER ligner et parti der leger kejserens nye klæder … når det kommer til stykket er de nøgne, intet indhold #dkpol",[ 4.2731357 -2.117129  -2.594905 ],[0.99728906 0.00167326 0.00103769]
1,positive,positive,TRUE,"Flabet tæmning bag støttebenet af Andreas Skov Olsen, inden han så sparker bolden i kassen til 0-2.
#FCNdk #sldk #vbfcn fcn",[-1.2336866 -2.3777816  3.783725 ],[0.00656433 0.00209082 0.9913448 ]
2,negative,negative,TRUE,"[LINK]

“Tyske Politikere advarer DK, -det her burde i den grad få politikerne til at tage sagen alvorlig” 
Mette Brock #dkpol burde gå godkendelserne fra 2002 igennem: islam trossamfund blev godkendt på forkert grundlag. og Stoppe Islam bøn foran FT.",[ 4.022142  -2.2135062 -2.2040627],[0.9960801  0.00195068 0.00196919]
3,positive,negative,MISS,Så er der jo fremtids sikret. Når man ser hvad der sker på vestkysten nemlig ikke en skid så kan jeg godt se hvorfor det bliver gjort. For der må da ikke kystsikres før det er for sent. Så jeg smiler bare.,[-0.97742397 -1.593248    2.694042  ],[0.02448    0.01322398 0.96229607]
4,negative,negative,TRUE,"Og måske skal DA afholde sig fra “hurtige regnestykker”. Men i stedet tage højde for, at alle, der nærmer sig pensionsalderen ikke er i beskæftigelse og at alle ikke arbejder fuldtid. Så går regnestykker ikke lige så hurtigt. Til gengæld er de ikke forkerte. #arbejde #dkpol",[ 3.666865   -0.22897899 -3.8746047 ],[9.7956926e-01 1.9910933e-02 5.1977643e-04]
5,positive,positive,TRUE,Kæmpe tillykke til jer i Herning med udsigten til den vildeste finale 💪🏼🇩🇰,[-1.962556  -2.0642002  4.227612 ],[0.00204152 0.00184421 0.99611425]
6,positive,positive,TRUE,"Kolo, høj sol, radio og kaffe. Det er KLART den bedste modgift mod en påske med mange gæster. Haps.",[-1.6556591 -1.638163   3.4300222],[0.00610845 0.00621626 0.9876753 ]
7,neutral,neutral,TRUE,Vores årsrapport hvor socialt udsatte mennesker fortæller i prosa og tal om den betydning vores stævner og kurser betyder for dem er ude - hvis du vil være klogere på udsatte idræt så læs med 👇🏼 #dkpol #dkidræt #dksocial,[-2.0979347  3.9911761 -1.8253174],[0.00225559 0.9947818  0.00296249]
8,positive,positive,TRUE,"Og nu som fast del af programmet, er der altid go lyd🎶🎶. styrer🙌🏻🙌🏻",[-1.8518447 -1.8608063  3.8917007],[0.00318309 0.00315469 0.99366224]
9,neutral,neutral,TRUE,Der er så mange flere grunde til at #ståafiroskilde frem for Høje-Tå #sigerdetbare,[-1.1207118  2.3230972 -1.3010908],[0.03017417 0.9446318  0.02519404]
10,neutral,neutral,TRUE,"RUNDSPØRGE: Knap ½ af @USER's medlemmer mener ikke, de kan arbejde, til de når folkepensionsalderen. 3 år tidligere pension i S-udspil er ikke nok for mange af dem, mener arbejdsmiljøforsker. #arbejde #dkpol #pensionsalder
[LINK]",[-0.5124107  4.4046035 -3.9640324],[7.2660772e-03 9.9250364e-01 2.3029240e-04]
11,positive,positive,TRUE,"Jeg er faktisk også meget overrasket over United. Pisse ærgerligt de får det mål, men det virkede næsten som om, at det var det der skulle få United i gang 🤔 1-1 ville ikke være en katastrofe! KOM SÅ UNITED!!",[ 1.1441075 -3.5290446  2.3245122],[0.2344647  0.00219055 0.76334476]
12,positive,neutral,MISS,"Nyt vækstforløb kickstarter innovation i Det Blå Danmark. Fem danske startups er udvalgt til at samarbejde med landets største selskaber i den maritime branche.
[LINK] #dkstartup #dkbiz #cphftw",[-2.0628572 -0.7076857  2.8967927],[0.00678328 0.02630167 0.9669151 ]
13,neutral,neutral,TRUE,"Jeg tror, jeg trækker mig og lytter.",[-3.5876708   3.3481648   0.38082665],[9.2388701e-04 9.5019799e-01 4.8878238e-02]
14,positive,positive,TRUE,"Det her skal vi (læs #dkmedier) lige huske at have med i puljen, når vi jubler over et fortsat Radio24syv. Tak, 👏",[-1.8251458 -2.096699   4.1218033],[0.00260182 0.00198309 0.9954151 ]
15,positive,positive,TRUE,".@USER og Scandinavian Avionics vinder Danmarks første F-35-vedligeholdelseskontrakt #dkforsvar 
[LINK]",[-1.8979979 -0.5373969  2.6224551],[0.01033317 0.04028422 0.9493826 ]
16,neutral,neutral,TRUE,Flere lyskryds ude af drift,[-3.1992102   3.5920637  -0.28776902],[0.00109959 0.9786863  0.02021406]
17,positive,neutral,MISS,"Mange ellers hærdede OB-fans frygter dagens kamp, fordi den kan slukke de evige drømme om top 6. OB-mandskabet har i dag ansvaret for at blæse den frygt omkuld.#sportfyn #sldk #obvb",[-1.597109 -0.763378  2.408665],[0.01717735 0.03954039 0.94328225]
18,neutral,neutral,TRUE,Grønlands fiskeriminister Jeremiassen trækker sig efter en periode med tumult i fiskeripolitikken #glpol,[-2.2204504   1.9899912   0.36835635],[0.01223988 0.82479995 0.1629602 ]
19,negative,negative,TRUE,"Det er lidt let blot at tale om ytringsfrihed, hvis man samtidig lukker øjnene for ordene han og ligesindede chikanerer befolkningsgrupper og enkeltpersoner med.

Og det sidste gør han i stor stil.

Så, nej, nu smed jeg det ud i lyset. Bare en enkelt gang.",[ 4.042892 -2.338765 -2.073844],[0.99611723 0.00168575 0.00219708]
20,negative,positive,MISS,"Eller sagt på en anden måde. Det er ikke en analyse som bare er trukket op af en hat. :-)
Logikken i Bruxelles er anderledes end i København og på X-borg :-)",[ 3.8396869 -1.2491754 -2.9991398],[0.9928156  0.00612074 0.00106366]
21,positive,positive,TRUE,"Wow, det var en dejlig søndagsskumringsmeddelelse :) Glad for at du kan lide den!",[-1.9951365 -2.4178474  4.5723205],[1.402105e-03 9.187549e-04 9.976792e-01]
22,negative,negative,TRUE,"Jeg kan fortælle dig, at når man står på stadion, og de råber sådan, så tænker man en ekstra gang inden man går på toilet i pausen, fordi man ved, at hvis de kan se hvem man er, så falder der øretæver. Så, ja - det er udtryk for et kulturel had til os.",[ 1.022554   -0.06385279 -0.941117  ],[0.67669576 0.22833525 0.09496903]
23,neutral,neutral,TRUE,Regeringen lægger an til ny motorvej i hovedstaden,[-2.3907166  2.3221645  0.2469683],[0.00791431 0.8814373  0.11064841]
24,negative,negative,TRUE,"Men det er jo problematisk, uansett om det er billedlig ment - det virker jo unektelig som barnet ikke har det så bra?
“She can see carbon dioxide with the naked eye. She sees how it flows out of chimneys and changes the atmosphere in a landfill.”",[ 3.898489  -2.4262395 -1.8237568],[0.99496174 0.00178243 0.00325587]
25,positive,negative,MISS,"Klart - nu skal der glattes ud. Spin fra klubbens side. Se hele scenariet igen. Der var ingenting at misforstå i kommunikationen fra Kepa om, at han var klar igen.",[-1.6719269 -1.4019555  3.2244227],[0.00734698 0.00962401 0.983029  ]
26,negative,negative,TRUE,"Jeg kan ikke klare at være på twitter i dag. Jeg bliver nemlig så edderspændt rasende, når jeg læser om karaktermordet på #radio24syv #dkpol #skamjer",[ 4.1397033 -2.4226437 -2.1155164],[0.9966781  0.00140787 0.00191402]
27,positive,negative,MISS,"Helt enig. Vi må bare ikke tror at bedre lokaler medfører “bedre sammenhænge” mellem SH, Kom. og AP. Heller ikke selvom vi kalder lokalerne for “Sundhedshuse” - det er der intet belæg for.",[-0.33757347 -1.4279298   1.7857043 ],[0.10315037 0.0346685  0.8621812 ]
28,neutral,positive,MISS,"HamletScenen præsenterer “Richard III” til sommer. Magtsyge, mord, sex og manipulationer fra verdens første seriemorder, lover instruktøren",[-0.3617849  3.8120203 -3.8903017],[1.5153460e-02 9.8440176e-01 4.4472999e-04]
29,negative,positive,MISS,"Kan tegn på ulovlig udenlandsk finansiering af Brexit-kampagnen underminere afstemningens gyldighed? - Under alle omstændigheder giver dette bremain-siden nye gode argumenter for at lade befolkningen spørge påny. #brexit #dkmedier
#eudk
[LINK]",[ 4.435786  -1.3703759 -3.5681636],[9.9666804e-01 2.9989309e-03 3.3302713e-04]
30,positive,positive,TRUE,"Nøddesbos hånd i Herning-rundkørsel: Jeg er en smule stolt,",[-1.8819672 -1.4680718  3.5314124],[0.0044072  0.00666677 0.98892605]
31,negative,positive,MISS,"Som Brøndby fan synes jeg det er helt på sin plads at tumpen, bliver vist et rødt kort og så tænker jeg ikke det er ham vi kommer til at savne specielt 🤷‍♂️ #bifaab #Superliga",[ 0.8727995 -1.1947033  0.2987866],[0.5917994  0.07486337 0.33333728]
