,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,negative,neutral,MISS,"Ville være fantastisk, meeeen....",[ 2.5969207 -1.2494466 -2.42367  ],[0.9728026  0.02077632 0.00642111]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-2.669473   -0.33415014  3.139983  ],[0.00290048 0.02997007 0.9671294 ]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-0.64439815  2.362293   -1.7632363 ],[0.04641008 0.9384297  0.01516028]
3,positive,neutral,MISS,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-2.6267946  -0.18453135  2.9097118 ],[0.00375532 0.04318257 0.9530621 ]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 3.212225  -1.800611  -2.7191765],[0.99077904 0.00659067 0.00263028]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-0.44457892  2.2861645  -1.931798  ],[0.06034898 0.92601216 0.01363889]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-1.792483  -1.2960764  3.2015264],[0.00665914 0.01093968 0.9824012 ]
7,neutral,negative,MISS,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[-0.10804445  2.0450082  -2.1588547 ],[0.1026722  0.884121   0.01320679]
8,neutral,negative,MISS,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 0.0075239  1.8785007 -2.1186488],[0.13133821 0.8529941  0.01566773]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-1.1525922  2.8519552 -1.6407837],[0.01771143 0.97141844 0.01087013]
10,neutral,neutral,TRUE,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[-1.8821366   2.866211   -0.89809966],[0.00839852 0.96913344 0.02246799]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-0.8381048  2.5597498 -1.7687665],[0.03195482 0.9554456  0.01259955]
12,negative,negative,TRUE,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 1.429559    0.17049785 -2.2464333 ],[0.76379913 0.21685821 0.01934265]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 3.1924198 -1.7512184 -2.703142 ],[0.9902165  0.00705887 0.00272471]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-1.264726   2.543677  -1.2592318],[0.02123868 0.9574056  0.02135569]
15,neutral,positive,MISS,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-1.0273218  2.7013636 -1.6545799],[0.02317046 0.96445525 0.01237428]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 2.565476   -0.90953606 -2.746039  ],[0.96534795 0.02988858 0.00476346]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-1.5910392  2.9777093 -1.2877691],[0.01012375 0.97616583 0.0137104 ]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-0.54193026  2.3523362  -1.8816954 ],[0.05172731 0.934725   0.01354775]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-2.1801867 -1.0251033  3.3770263],[0.00379832 0.01205697 0.9841447 ]
20,neutral,neutral,TRUE,"Og nej, det er ikke passivt.",[-1.3795035  2.796569  -1.3441387],[0.014893   0.9696779  0.01542911]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 3.2406194 -1.9776466 -2.5581086],[0.9916226  0.00537134 0.00300601]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-1.09456    2.7823503 -1.655902 ],[0.02006208 0.9684936  0.01144427]
23,negative,negative,TRUE,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[ 1.956426  -0.1149938 -2.6821136],[0.8805309  0.11095285 0.00851633]
24,negative,negative,TRUE,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[ 1.1190299   0.87453264 -2.5343194 ],[0.5527909  0.43288952 0.01431962]
25,negative,negative,TRUE,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 3.2123113 -1.7813057 -2.7433329],[0.9907148  0.00671813 0.00256711]
26,negative,neutral,MISS,"Milos.. Der er en himmelvid forskel på at bruge en sexuel orientering som skældsord, og et erhverv, uanset om det er luder/bilsælger/bankmand eller håndværker. Du kan skifte erhverv, det er umiddelbart nok sværere at sexualitet. Læs tipsbladets artikel om",[ 2.8995001 -1.2035365 -2.9021144],[0.9808296  0.01620568 0.00296472]
27,negative,negative,TRUE,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[ 1.7602677e+00 -3.3379672e-04 -2.5511854e+00],[0.8436288  0.14505471 0.01131648]
28,neutral,negative,MISS,"RT @USER: Du mener: Hvem bliver nummer tre ?

Først var det skolelærerne...",[-0.5772629  2.4097364 -1.9129385],[0.04741791 0.9401122  0.01246998]
29,negative,neutral,MISS,"Mediernes rolle skal forklares forfra, skriver som kommentar til ""På sin vis er der tale om ytringsfrihed på speed. Men hvis de forpligtede, uafhængige medier samtidig svækkes, får vi et demokratisk problem"" #dkmedier",[ 3.2696922 -2.0070598 -2.5787032],[0.9920699  0.00506848 0.00286165]
30,positive,positive,TRUE,"Ved du overhovedet hvad det ord betyder?

Jeg er fuldstændig enig med @USER. Danmark har brug for en ny retning!",[-2.738116   1.1560953  1.7276913],[0.00729349 0.35823664 0.63446987]
31,negative,negative,TRUE,Der er noget skrivere har misforstået. Han skriver en nedsænkning vil give 7000 yderlige pladser og det er AGFS ønske. AGF har ikke noget ønske om at øge kapaciteten til 27000 #ultratwitteragf,[ 3.1399202 -1.6090252 -2.7784543],[0.988777   0.00856363 0.00265938]
32,negative,negative,TRUE,"Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",[ 3.2592747 -2.0374331 -2.5512707],[0.9920596  0.00496829 0.00297201]
