,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,negative,neutral,MISS,"Ville være fantastisk, meeeen....",[ 0.9076305 -0.1253337 -1.1552112],[0.6742894  0.24001351 0.085697  ]
1,neutral,positive,MISS,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-1.8712405  1.5268091  0.6045951],[0.02336593 0.6987748  0.27785924]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-1.3628422   1.848648   -0.30391422],[0.03484403 0.86469084 0.10046505]
3,positive,neutral,MISS,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-1.9085265  0.5655529  1.6613373],[0.02066862 0.24535248 0.73397887]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 2.284403  -1.2466891 -1.9476984],[0.95804274 0.02804472 0.01391255]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-0.9737164  1.7557429 -0.6374852],[0.05641985 0.86461145 0.07896875]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-1.0244948 -0.4403268  1.7528604],[0.05299433 0.09504523 0.8519605 ]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 1.8728839 -0.6629707 -1.922537 ],[0.9077149  0.07188558 0.02039948]
8,neutral,negative,MISS,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[-0.9143853  1.7066547 -0.667565 ],[0.06238317 0.85776955 0.07984728]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-1.0112616   1.7779129  -0.60210437],[0.05326761 0.8665354  0.08019696]
10,neutral,neutral,TRUE,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[-1.275261   1.7571398 -0.3240053],[0.04109149 0.8525244  0.10638417]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-0.9943754  1.7444459 -0.620665 ],[0.05579779 0.86312157 0.08108068]
12,negative,negative,TRUE,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 0.95393896  0.21056168 -1.5729907 ],[0.6429176  0.3057107  0.05137167]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 2.2506747 -1.1842777 -1.914875 ],[0.9544279  0.0307583  0.01481385]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-1.3683821   1.767638   -0.23502906],[0.03687567 0.84858656 0.11453783]
15,neutral,positive,MISS,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-1.0039167  1.737118  -0.5796137],[0.05545837 0.8597722  0.08476949]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 2.0889132  -0.93610036 -1.9804163 ],[0.9383979  0.04556594 0.01603614]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-1.7797122   1.7709329   0.24234842],[0.02304697 0.8028591  0.1740939 ]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-1.0342487  1.7714643 -0.5885833],[0.05235494 0.8658912  0.08175375]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-1.3267977 -0.2258978  1.9178394],[0.03371628 0.10138046 0.8649033 ]
20,neutral,neutral,TRUE,"Og nej, det er ikke passivt.",[-1.1112722   1.7284244  -0.44259527],[0.04984491 0.85287505 0.09727999]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 2.272275  -1.2811543 -1.8670197],[0.9573405  0.02740513 0.01525435]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-1.0980605   1.8059367  -0.53427875],[0.04760943 0.8687262  0.08366432]
23,negative,negative,TRUE,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[ 1.7395506 -0.5220133 -1.8946357],[0.8844916  0.09215291 0.02335537]
24,neutral,negative,MISS,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[-0.40204698  1.4103259  -0.975869  ],[0.13006721 0.796657   0.07327572]
25,negative,negative,TRUE,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 2.1949823 -1.0669854 -1.9940122],[0.9492399  0.03636817 0.01439192]
26,negative,neutral,MISS,"Milos.. Der er en himmelvid forskel på at bruge en sexuel orientering som skældsord, og et erhverv, uanset om det er luder/bilsælger/bankmand eller håndværker. Du kan skifte erhverv, det er umiddelbart nok sværere at sexualitet. Læs tipsbladets artikel om",[ 2.1336226 -0.979961  -1.9997302],[0.9429777  0.04190726 0.01511503]
27,negative,negative,TRUE,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[ 1.9577075  -0.75752574 -1.9569433 ],[0.9206941  0.06094029 0.01836556]
28,neutral,negative,MISS,"RT @USER: Du mener: Hvem bliver nummer tre ?

Først var det skolelærerne...",[-0.9986433  1.7660174 -0.6309015],[0.05459074 0.86655456 0.07885464]
29,negative,neutral,MISS,"Mediernes rolle skal forklares forfra, skriver som kommentar til ""På sin vis er der tale om ytringsfrihed på speed. Men hvis de forpligtede, uafhængige medier samtidig svækkes, får vi et demokratisk problem"" #dkmedier",[ 2.26245   -1.2765065 -1.8551893],[0.9566388  0.02778425 0.01557686]
30,positive,positive,TRUE,"Ved du overhovedet hvad det ord betyder?

Jeg er fuldstændig enig med @USER. Danmark har brug for en ny retning!",[-1.8935064  1.0139931  1.1801037],[0.0244315 0.4473641 0.5282044]
31,negative,negative,TRUE,Der er noget skrivere har misforstået. Han skriver en nedsænkning vil give 7000 yderlige pladser og det er AGFS ønske. AGF har ikke noget ønske om at øge kapaciteten til 27000 #ultratwitteragf,[ 2.245547  -1.1520215 -1.9421998],[0.9536207  0.03190291 0.01447639]
32,negative,negative,TRUE,"Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",[ 2.2947085 -1.3434035 -1.8599591],[0.95969933 0.02524197 0.01505865]
33,negative,negative,TRUE,"Hvorfor gør #dkpol ikke noget mere for at få flere elbiler på vejene, ladestandere sat op....",[ 2.1029227 -1.0293046 -1.9283648],[0.9421767  0.04109824 0.01672502]
34,neutral,positive,MISS,"Konkurrencestater kommer i forskellige varianter, og det samme gælder for den danske konkurrencestat 🇩🇰. Nysgerrig? Køb 'Konkurrencestatsministeren' her: #dkpol #dkøko",[-1.2601479  1.8495421 -0.4064816],[0.03881635 0.8700335  0.09115014]
35,neutral,neutral,TRUE,"Jo jo, men de kan jo ikke bruges som en overvældende del af holdets succes. De har ydet på visse områder, men har vel ikke været kæmpe profiler.",[-0.5810519  1.4248451 -0.7638415],[0.1079249  0.8021797  0.08989534]
36,neutral,positive,MISS,Viacom letter på aftale med AT&amp;T og topper S&amp;P 500-indekset,[-1.1428169   1.8203486  -0.48537785],[0.04486518 0.86855197 0.08658278]
37,positive,positive,TRUE,Det er flot! Træning er heller ikke en særligt stor del af vægttab. Du kan ikke træne dig ud af dårlige spisevaner du skal spise dig ud af dem. Træning er selvfølgelig godt for en masse andre ting så det er helt fint at træne (eller ej).,[-1.8994858  1.0491971  1.1605012],[0.02414987 0.46079904 0.5150511 ]
38,neutral,neutral,TRUE,Online Angst Kursus. Prøv gratis. Ingen binding. Ingen kreditkort. Gå til → #angst #stress #denmark,[-1.3270075   1.82333    -0.32600132],[0.03694813 0.8625153  0.10053656]
39,neutral,neutral,TRUE,Det er Robsons store udfordring. Han er dog ret bredt anerkendt som en af de største engelske spillere,[-1.4551185   1.8623732  -0.20424053],[0.03116773 0.85995054 0.10888162]
40,negative,negative,TRUE,"Fodboldfans og sange er altså en historie for sig selv! 
Så ufattelig mange sløje tekster og selvkonstruerede ord for at få noget til at lade som om det rimer.",[ 2.242737  -1.2017586 -1.9081477],[0.9544977  0.03046839 0.01503379]
41,neutral,neutral,TRUE,"Det er Torsdag og dermed Premier League i Dart, med runder igen før finalen strammer det til nu.
Se forslag på facebook side",[-1.4556973   1.8631319  -0.21409626],[0.0311632  0.86097634 0.10786052]
42,neutral,neutral,TRUE,"Nethandel med Dankort fejrer 20 års fødselsdag i dag. Tilbageblik: Det er i dag 20 år siden, at det første køb med Dankort på nettet blev gennemført. Siden er det blevet til millioner af handler på nettet.",[-0.89560384  1.6989228  -0.6766793 ],[0.06395912 0.85642844 0.07961232]
43,negative,negative,TRUE,Det vil sige at laveste fællesnævner hermed er dem det laver balladen.,[ 2.2564642 -1.2713095 -1.8477547],[0.95613897 0.02808202 0.01577907]
44,negative,negative,TRUE,"@USER, hvor er det bare en uklædelig måde du omgår reglerne om kampagnestøtte. Du er jo udmærket klar over, hvad intentionen med loven er. Den burde du som borgerlig leve op til. Åbenhed er en styrke i politik. #dkpol #fv19",[ 2.303272  -1.2953428 -1.9137506],[0.959597   0.02625611 0.01414683]
45,neutral,negative,MISS,"Meget ærgerligt for Slagelse Kommune, fordi jeg er tæt på byen, hvor jeg kan få arbejdet i Korsør, det er bare et arbejde. De skal kunne tænke sig om.",[-1.669717    1.6453723   0.23902418],[0.02835315 0.78041637 0.19123049]
46,negative,neutral,MISS,"Hvad sker der med i dag, kan ikke komme ind??",[ 2.168034  -1.1048993 -1.9014846],[0.9478846  0.03592018 0.01619519]
47,negative,negative,TRUE,"Men igen; hvor mange opretter en komité og når frem til “nå, ingen vil have mig”?",[ 1.9691257  -0.76537734 -1.9598942 ],[0.92200804 0.05986254 0.01812938]
48,negative,negative,TRUE,Så er der jo fremtids sikret. Når man ser hvad der sker på vestkysten nemlig ikke en skid så kan jeg godt se hvorfor det bliver gjort. For der må da ikke kystsikres før det er for sent. Så jeg smiler bare.,[ 1.4657292  -0.32522237 -1.6470914 ],[0.82557523 0.13770707 0.03671773]
49,negative,negative,TRUE,Det hedder at klæbe sig til taburetten man ved er tabt alligevel. Husk I kun blev reddet af DF sidste gang,[ 2.267958  -1.3449908 -1.8239205],[0.9581481  0.02584336 0.01600857]
50,negative,negative,TRUE,Mig heller ikke. Al magt til velfærds argumentet om den enkle fries lykkelige. Lad os i samlet flokkes kor nedlægge denne fucking irriterende natur planeten dyrene og træerne og insekterne der æder vores korn eller er det de vilde fugle. Lad os slaa disse fucking fugle ihjel.,[ 2.284911  -1.3411078 -1.8743918],[0.9594716  0.02554302 0.01498545]
51,neutral,positive,MISS,"Tror faktisk der er en hel del fodboldfans i hele DK, der passer på den beskrivelse. Måske ligefrem et par hviiie’ også...? Kudos til VF for at stikke hul - mon ikke det bliver forårets tema? Og DBU kommer til at følge op med et par trusler osv. osv... #Sldk",[ 0.5275785   0.61361194 -1.3996696 ],[0.44734904 0.48754016 0.06511084]
52,negative,negative,TRUE,Man har i årtier benyttet enhver lejlighed til at sætte brand i gaderne på Nørrebro. Først venstreorienterede autonome og siden indvandrerne fra Mellemøsten. Så det er en kultur der har eksisteret længe før nogen kendte til Rasmus Paludan. Han er blot en dårlig undskyldning.,[ 2.1184294  -0.97558814 -1.9820316 ],[0.94172186 0.04267838 0.01559966]
53,neutral,neutral,TRUE,"Ja, kan du ikke bare være enig i det mest effektive tiltaket, så er vi ferdig? ;)",[-1.8362545   1.3636428   0.74033207],[0.0258517  0.63414246 0.34000587]
54,negative,negative,TRUE,"T.e. ved at læse tweets og svar som dine med fascistiske og racistiske undertoner. Og den undren det giver når danskere, som ellers virker til at være veluddannede og intelligente, kan få så menneskefjendske holdninger. Det er ikke mit Danmark mere. Lev vel.",[ 2.3050883 -1.3286443 -1.9067785],[0.960397   0.02537119 0.01423182]
55,negative,negative,TRUE,"Rygning ... ja lad os endelig putte mere skat i statskassen så skattestyrelsen kan forpurre dem efterfølgende , mine cigaretter koster næsten 50 kr så prisen er fordoblet de sidste 10-12 år har det hjulpet staten burde ikke blande sig og hvad bliver det næste rødvin ? Slik ?",[ 2.2804697 -1.3362701 -1.8602598],[0.9589738  0.02576776 0.01525846]
56,neutral,negative,MISS,"“Han sov på gaden, når han ikke vandt i lodtrækningen om at få en plads i et herberg for natten, har han forklaret”.
Vi kan ikke være det bekendt, at der må trækkes lod. Tak for frifindelse",[-0.8340518  1.5866725 -0.6422649],[0.0742643 0.835771  0.0899647]
57,negative,positive,MISS,"Ganske kort og simpelt: hvis det er så fandens korrekt, alt det du får braldret af dig, hvorfor er det så, at stemmerne flyver fra jer som lort fra spædekalve? Gi' dig gerne god tid. Og vær nu varsom med at svine dine vælgere til 😆😉👍",[ 2.2340853 -1.3126743 -1.802884 ],[0.9555947  0.02753821 0.0168671 ]
58,neutral,neutral,TRUE,Stormen Pabuk dræber to ældre og en fisker i Thailand,[-1.423926    1.8256189  -0.22046606],[0.03321131 0.8561411  0.11064759]
59,positive,positive,TRUE,Det ser spændende ud! Men for en god ordens skyld: Det er og der holder konferencen. Vi er bare skriverkarle :-),[-1.2314698  -0.33754635  1.8998635 ],[0.03795181 0.0927809  0.8692672 ]
