,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,negative,neutral,MISS,"Ville være fantastisk, meeeen....",[ 2.1622436 -1.0637448 -1.9542221],[0.9469531  0.03760967 0.01543726]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-1.5280387 -0.5596133  2.3528981],[0.01919261 0.05054938 0.930258  ]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-1.9308888   2.138133   -0.04551602],[0.01513122 0.885172   0.09969673]
3,positive,neutral,MISS,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-1.6974947  -0.44029257  2.41454   ],[0.01524706 0.05360212 0.9311508 ]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 2.6781964 -1.5169685 -2.2356102],[0.97807854 0.01473794 0.00718347]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-1.2642175  2.235947  -0.8312871],[0.02804053 0.92872757 0.04323202]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-1.1802162  -0.75936455  2.1801074 ],[0.03192669 0.04863258 0.91944075]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 2.3258216  -0.97244537 -2.259817  ],[0.9549781  0.03528371 0.00973814]
8,neutral,negative,MISS,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[-1.1246544  2.1578944 -0.9294546],[0.03465105 0.92322874 0.04212023]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-1.27287    2.237025  -0.7965829],[0.02773553 0.92760795 0.04465656]
10,positive,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[-1.9280375   0.13795047  2.0812335 ],[0.01562505 0.12333    0.86104494]
11,positive,positive,TRUE,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-2.0424151  0.4260383  1.9039749],[0.01549129 0.18286194 0.80164677]
12,negative,negative,TRUE,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 2.3140078 -1.2759795 -1.9284083],[0.95971906 0.02648698 0.01379388]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 2.6230087 -1.4764855 -2.152502 ],[0.9755956  0.01617641 0.00822795]
14,positive,neutral,MISS,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-1.5260866   0.30535418  1.386553  ],[0.0389891  0.24340406 0.71760684]
15,neutral,positive,MISS,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-0.4732125  1.6701237 -1.2096257],[0.09993333 0.8522157  0.04785092]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 2.617262  -1.3622694 -2.3139415],[0.9747423  0.01822222 0.00703551]
17,positive,neutral,MISS,Blågårdsgade 2. Look for Sasaa at Facebook,[-2.378573   1.1191356  1.506712 ],[0.01208891 0.39941332 0.58849776]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-1.125808    2.1753345  -0.93376684],[0.03406534 0.92465705 0.04127767]
