,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,negative,neutral,MISS,"Ville være fantastisk, meeeen....",[ 2.6159034 -1.4354914 -2.2305608],[0.97536784 0.01696954 0.00766259]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-2.0914218 -0.8298339  3.1032135],[0.00541028 0.01910382 0.97548586]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-1.600889   2.7294338 -1.030736 ],[0.01270045 0.96483827 0.02246123]
3,positive,neutral,MISS,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-2.3732488  -0.46434513  3.0151927 ],[0.00441291 0.02976813 0.96581894]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 3.0654962 -1.8084846 -2.4923906],[0.98863095 0.00755599 0.00381307]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-1.2244766  2.6698549 -1.3690562],[0.01961223 0.9634156  0.01697216]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-1.6394418 -1.0909321  2.8927865],[0.01044974 0.01808507 0.97146523]
7,neutral,negative,MISS,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 0.25438735  1.5310777  -2.0899246 ],[0.21364467 0.765864   0.02049134]
8,neutral,negative,MISS,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[-1.1061065  2.5572703 -1.4173851],[0.02455476 0.95745873 0.0179866 ]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-1.4348617  2.7592614 -1.2073529],[0.01458767 0.967098   0.01831436]
10,neutral,neutral,TRUE,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[-2.1493385   2.0370877   0.22235365],[0.01290277 0.84883755 0.1382597 ]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-1.4323702  2.6016798 -1.1156723],[0.01698894 0.9596923  0.02331882]
12,negative,negative,TRUE,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 2.5556743 -1.4478915 -2.1079094],[0.9730627  0.01775883 0.00917851]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 2.9118366 -1.6258984 -2.42468  ],[0.98472667 0.01053422 0.0047391 ]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-1.5684617   2.23903    -0.60865444],[0.02055561 0.92576975 0.05367467]
15,neutral,positive,MISS,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-0.98049307  2.378216   -1.3829197 ],[0.0328723  0.9451461  0.02198156]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 3.012671  -1.6288242 -2.6194928],[0.9869485  0.00951741 0.00353408]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-1.8961874  2.7634597 -0.7361702],[0.0091084  0.961836   0.02905568]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-1.1737688  2.6263416 -1.3933022],[0.02150121 0.9612356  0.01726318]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-1.9798377 -0.8405141  3.0405684],[0.00642684 0.02008165 0.97349143]
20,neutral,neutral,TRUE,"Og nej, det er ikke passivt.",[-1.5647867   2.5196526  -0.84785646],[0.01601108 0.951196   0.03279287]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 3.0047147 -1.8643056 -2.3286927],[0.98764604 0.007586   0.00476795]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-1.3578607  2.707237  -1.2576782],[0.01656288 0.9651289  0.01830815]
23,negative,negative,TRUE,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[ 2.7263553 -1.2998519 -2.5202157],[0.97741437 0.01743891 0.00514662]
24,negative,negative,TRUE,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[ 2.0790687 -0.2878106 -2.6297524],[0.90679234 0.08503255 0.00817509]
25,negative,negative,TRUE,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 3.0793502 -1.8082654 -2.5146084],[0.9888657  0.00745543 0.00367885]
26,negative,neutral,MISS,"Milos.. Der er en himmelvid forskel på at bruge en sexuel orientering som skældsord, og et erhverv, uanset om det er luder/bilsælger/bankmand eller håndværker. Du kan skifte erhverv, det er umiddelbart nok sværere at sexualitet. Læs tipsbladets artikel om",[ 2.9727218 -1.5946081 -2.580785 ],[0.985941   0.01023964 0.00381939]
27,negative,negative,TRUE,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[ 2.2404711  -0.74201995 -2.4118435 ],[0.943213   0.04778927 0.00899778]
28,neutral,negative,MISS,"RT @USER: Du mener: Hvem bliver nummer tre ?

Først var det skolelærerne...",[-1.1822865  2.631811  -1.4057407],[0.0212154  0.96181756 0.01696704]
29,negative,neutral,MISS,"Mediernes rolle skal forklares forfra, skriver som kommentar til ""På sin vis er der tale om ytringsfrihed på speed. Men hvis de forpligtede, uafhængige medier samtidig svækkes, får vi et demokratisk problem"" #dkmedier",[ 3.0362227 -1.88151   -2.3642943],[0.9883083  0.00723017 0.00446147]
30,positive,positive,TRUE,"Ved du overhovedet hvad det ord betyder?

Jeg er fuldstændig enig med @USER. Danmark har brug for en ny retning!",[-2.2317207 -0.5422901  2.9934123],[0.00520015 0.02816606 0.96663386]
31,negative,negative,TRUE,Der er noget skrivere har misforstået. Han skriver en nedsænkning vil give 7000 yderlige pladser og det er AGFS ønske. AGF har ikke noget ønske om at øge kapaciteten til 27000 #ultratwitteragf,[ 2.9952843 -1.6273531 -2.5477211],[0.98644465 0.00969364 0.00386168]
32,negative,negative,TRUE,"Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",[ 3.051382  -1.9039656 -2.386552 ],[0.98873425 0.00696626 0.00429947]
33,negative,negative,TRUE,"Hvorfor gør #dkpol ikke noget mere for at få flere elbiler på vejene, ladestandere sat op....",[ 2.8214767 -1.4055672 -2.5777771],[0.9812431  0.0143217  0.00443517]
34,neutral,positive,MISS,"Konkurrencestater kommer i forskellige varianter, og det samme gælder for den danske konkurrencestat 🇩🇰. Nysgerrig? Køb 'Konkurrencestatsministeren' her: #dkpol #dkøko",[-1.4949503  2.7808356 -1.1908522],[0.01346039 0.96829534 0.01824424]
