,language,score,text,label,tweet_len
0,da,0.9418748380121801,"Jeg tror, det der var kampen. Goff virker lost",negative,9
1,da,0.9999943675367835,"Véd ikke hvor gammel du er, men på min ""Glad-liste"" er Stig Møllers ""Sikke´n dejlig dag det er i dag"" - også Gnags ""Lav sol over Århus"", ""Safari"", ""Slingrer ned af Vestergade"", ""Sensommer på Strøget"" plus mange andre.",positive,38
2,da,0.9999939152582947,"Næste gang nogen kalder EU for ""fredens projekt"", kommer jeg til at eksplosiv-ørle!! #eudk #ep19dk #dkpol #daxitNU",negative,17
3,da,0.9999941209273594,"Jeg ser heller ikke nyheder så ofte længere (de dukker så op på Twitter, men...) Jeg så engang mange debatprogrammer - det gør jeg heller ikke mere i så høj grad. Niveauet og prioriteringerne har ændret sig ret drastisk, IMO og det er IKKE til det bedre :((",negative,48
4,da,0.9978080717511892,"Klart - nu skal der glattes ud. Spin fra klubbens side. Se hele scenariet igen. Der var ingenting at misforstå i kommunikationen fra Kepa om, at han var klar igen.",negative,30
5,da,0.9999954857128487,"Det er pinligt, det er skamfuldt det er ikke superligaen værdigt! #sldk #bandegate #bandekonflikt #fckfcm",negative,15
6,da,0.9999959011292182,"Naturen er i krise og mangfoldigheden går tilbage i katastrofalt tempo. Vi tror på, at vi skal genetablere et nært forhold til naturen for at bekymre os om den - og passe på den. Derfor foreslår vi en demokratisering af vores natur #dkpol #dkgreen #fv19",negative,45
7,da,0.9999933805011337,"Sammen med har jeg talt med en del af de ft-medlemmer, der stopper, om hvorfor de stopper og om dansk politik anno 2018. Der var nogle interessante refleksioner undervejs #dkpol",neutral,30
8,da,0.9999947549168438,"Det er overordnet en konjunkturer effekt, men hvor grupper med lav besk. oplever de største stigninger i beskæftigelsesgraden - så ja, de bidrog også, men de er ikke så mange at de kan flytte den aggregerede kurve så meget",neutral,39
9,da,0.9999944710165932,"Det har du fuldstændigt ret i, og det er et stort problem for #dkmedier, at det ikke er lykkes at skabe en ordentlig booking-platform til dette segment.",positive,27
10,da,0.9999934766359657,"Skal du med ud og samle affald på søndag? ♻️🥫🚬
Der er mere end tusind lokale indsamlinger tilmeldt den store affaldsindsamling på søndag. Find en indsamling nær dig og blive affaldshelt for en dag 👉 #dkgreen #TrashTag #affaldsindsamlingen",positive,38
11,da,0.9999952624835501,"""Nu er det op til May-regeringen selv at vælge enten den ansvarlige kurs, som EU har skitseret – eller at fortsætte kursen mod Hard Brexit""

Professor Derek Beach: May insisterer på at føre Storbritannien mod afgrunden (abon): #dkpol #eudk",negative,39
12,da,0.999995059112471,Eller fordi det er godt at se hvor dårligt livet var før i tiden. De gode gamle dage findes ikke,negative,20
13,da,0.9999953691913803,"Legekæden: Hvis ikke folk bruger os, så kan det være os, der må lukke næste gang (Dette er en plus-artikel)",negative,20
14,da,0.9999958308061212,Tilskuer-boom i Superligaen: FCK spurter frem #brøndby #fcklive #agf #fcm #aab,positive,11
15,da,0.9999948548011712,4 gange Kaptain arbejder i samme virksomhed,neutral,7
16,da,0.9999924524002644,Det er lige med at holde på hat og briller. Det bliver en dag fyldt med blæst 🌬🌬,neutral,18
17,da,0.9999928168535819,"Tja, nu er jeg ikke DF'er og bliver det aldrig, MEN det er dybt problematisk at unge mænd tyranniserer en bydel/Brønshøj Torv, får drevet vognen væk efter massiv chikane, stenkast, kanonslag osv, fordi den serverer svinekød! At DF buger det som stunt er fordi ingen har ageret før",negative,48
18,da,0.999993749789575,Jeg er dybt bekymret!! #dkpol #dkhandicap,negative,6
19,da,0.9999959879018883,"At Venstre fotoshopper deres politik ved alle, men hvorfor også billederne af deres politikere? Er der intet ægte i det parti",negative,21
